model_id,rank,ensemble_weight,type,cost,duration
2,1,0.6,random_forest,0.021324354657688005,4.872241258621216
3,2,0.2,random_forest,0.029180695847362492,5.400985479354858
4,3,0.2,libsvm_svc,0.648709315375982,3.950361967086792
8,1,0.16,gradient_boosting,0.02020202020202022,8.98157000541687
3,2,0.42,random_forest,0.021324354657688005,4.729918479919434
6,3,0.04,gradient_boosting,0.023569023569023573,10.016149282455444
4,4,0.14,random_forest,0.024691358024691357,5.26504921913147
10,5,0.04,gradient_boosting,0.1447811447811448,2.576862335205078
5,6,0.2,libsvm_svc,0.7811447811447811,4.384952068328857
model_id,rank,ensemble_weight,type,cost,duration
7,1,0.16000000000000003,gradient_boosting,0.02020202020202022,10.279485940933228
4,2,0.32000000000000006,random_forest,0.021324354657688005,4.595041513442993
9,3,0.12000000000000001,gradient_boosting,0.02244668911335579,9.573692798614502
5,4,0.26000000000000006,random_forest,0.029180695847362492,4.845861911773682
11,5,0.060000000000000005,gradient_boosting,0.2828282828282829,2.651944637298584
6,6,0.08000000000000002,libsvm_svc,0.648709315375982,3.742835760116577
10,1,0.16,gradient_boosting,0.02020202020202022,9.127888917922974
5,2,0.42,random_forest,0.021324354657688005,4.63088846206665
8,3,0.04,gradient_boosting,0.023569023569023573,9.379204273223877
6,4,0.14,random_forest,0.024691358024691357,5.3738954067230225
12,5,0.04,gradient_boosting,0.1447811447811448,2.7101809978485107
7,6,0.2,libsvm_svc,0.7811447811447811,3.6410300731658936
