model_id,rank,ensemble_weight,type,cost,duration
9,1,0.24,gradient_boosting,0.022222222222222213,10.81837272644043
3,2,0.1,extra_trees,0.026296296296296286,9.105246782302856
2,3,0.04,gradient_boosting,0.027407407407407415,14.567497968673706
10,4,0.04,extra_trees,0.06074074074074075,9.119983434677124
14,5,0.3,gradient_boosting,0.07518518518518519,9.037813901901245
8,6,0.1,mlp,0.11666666666666667,24.085074186325073
4,7,0.08,sgd,0.1351851851851852,8.548095703125
6,8,0.04,mlp,0.39851851851851855,24.008666276931763
12,9,0.06,sgd,0.6014814814814816,7.514569997787476
10,1,0.1,gradient_boosting,0.01667284179325677,12.32972502708435
6,2,0.08,gradient_boosting,0.017413856984068197,14.150079727172852
8,3,0.04,gradient_boosting,0.01889588736569102,10.712485313415527
4,4,0.04,extra_trees,0.019636902556502377,8.139232397079468
3,5,0.06,gradient_boosting,0.020007410151908114,13.139290809631348
16,6,0.04,random_forest,0.026306039273805128,7.846922397613525
11,7,0.14,extra_trees,0.045572434234901815,9.658916234970093
12,8,0.06,gradient_boosting,0.06150426083734716,12.099387645721436
15,9,0.06,gradient_boosting,0.0640978140051871,8.713580131530762
5,10,0.02,sgd,0.0689144127454613,7.7815752029418945
9,11,0.08,mlp,0.1126343090033346,24.42882013320923
7,12,0.24,mlp,0.40311226380140797,23.714700937271118
13,13,0.04,sgd,0.5224157095220452,9.201423406600952
model_id,rank,ensemble_weight,type,cost,duration
11,1,0.04,gradient_boosting,0.022222222222222213,10.51770567893982
7,2,0.14,gradient_boosting,0.022962962962962966,16.088294982910156
9,3,0.02,gradient_boosting,0.025555555555555574,9.755738973617554
5,4,0.02,extra_trees,0.026296296296296286,10.011033296585083
4,5,0.02,gradient_boosting,0.027407407407407415,15.074946165084839
12,6,0.12,extra_trees,0.06074074074074075,9.177328109741211
13,7,0.42,gradient_boosting,0.07296296296296297,10.961297988891602
16,8,0.08,gradient_boosting,0.07518518518518519,10.13859486579895
10,9,0.02,mlp,0.11666666666666667,24.477314949035645
6,10,0.06,sgd,0.1351851851851852,9.485435724258423
8,11,0.06,mlp,0.3981481481481482,24.15826940536499
8,1,0.12,gradient_boosting,0.017413856984068197,15.557312488555908
10,2,0.04,gradient_boosting,0.01889588736569102,10.305196762084961
5,3,0.02,gradient_boosting,0.020007410151908114,14.591510534286499
18,4,0.02,random_forest,0.022230455724342367,7.540101051330566
13,5,0.18,extra_trees,0.045572434234901815,9.071864604949951
14,6,0.06,gradient_boosting,0.06150426083734716,10.20096206665039
17,7,0.28,gradient_boosting,0.061504260837347204,9.377963304519653
11,8,0.06,mlp,0.06261578362356429,24.350396871566772
7,9,0.02,sgd,0.0689144127454613,9.052890539169312
9,10,0.18,mlp,0.40311226380140797,23.145355224609375
15,11,0.02,sgd,0.5224157095220452,7.890395641326904
