model_id,rank,ensemble_weight,type,cost,duration
5,1,0.16,gradient_boosting,0.07444444444444442,12.048513889312744
3,2,0.28,extra_trees,0.0774074074074074,8.736556053161621
2,3,0.06,gradient_boosting,0.07777777777777778,12.196744441986084
7,4,0.14,gradient_boosting,0.08777777777777779,7.0196921825408936
4,5,0.08,sgd,0.1781481481481482,7.2777605056762695
6,6,0.28,mlp,0.5122222222222222,8.3965003490448
3,1,0.26,gradient_boosting,0.05038903297517599,12.406074047088623
6,2,0.06,gradient_boosting,0.0522415709522045,12.126460790634155
4,3,0.14,extra_trees,0.053723601333827344,8.103472471237183
8,4,0.18,gradient_boosting,0.06446832160059282,8.105881929397583
5,5,0.06,sgd,0.12708410522415708,7.008221864700317
7,6,0.3,mlp,0.4583178955168581,9.0486319065094
model_id,rank,ensemble_weight,type,cost,duration
7,1,0.16,gradient_boosting,0.07444444444444442,12.292732954025269
5,2,0.28,extra_trees,0.0774074074074074,8.18733286857605
4,3,0.06,gradient_boosting,0.07777777777777778,12.159046173095703
9,4,0.14,gradient_boosting,0.0859259259259259,8.185647964477539
6,5,0.08,sgd,0.1781481481481482,7.302273273468018
8,6,0.28,mlp,0.5122222222222222,8.904421329498291
5,1,0.26,gradient_boosting,0.05038903297517599,12.560101747512817
8,2,0.06,gradient_boosting,0.0522415709522045,12.257888555526733
6,3,0.14,extra_trees,0.053723601333827344,7.990674734115601
10,4,0.18,gradient_boosting,0.055946646906261575,8.828403234481812
7,5,0.06,sgd,0.12708410522415708,6.931016206741333
9,6,0.3,mlp,0.4583178955168581,10.516711473464966
