model_id,rank,ensemble_weight,type,cost,duration
3,1,0.32,random_forest,0.035914702581369196,6.173146724700928
2,2,0.54,random_forest,0.038159371492704874,5.303178787231445
4,3,0.14,libsvm_svc,0.6262626262626263,4.3420796394348145
8,1,0.22,gradient_boosting,0.013468013468013518,8.98470139503479
3,2,0.34,random_forest,0.015712682379349086,4.147413492202759
6,3,0.12,gradient_boosting,0.017957351290684653,8.498490333557129
4,4,0.06,random_forest,0.024691358024691357,4.486363649368286
10,5,0.1,gradient_boosting,0.11896745230078565,2.773665428161621
5,6,0.16,libsvm_svc,0.5858585858585859,3.288869619369507
7,1,0.24,gradient_boosting,0.001122334455667784,7.854655027389526
10,2,0.3,gradient_boosting,0.001122334455667784,7.514746427536011
4,3,0.08,random_forest,0.002244668911335568,3.856837511062622
5,4,0.12,random_forest,0.004489337822671136,4.57947564125061
11,5,0.1,gradient_boosting,0.1503928170594837,3.472673177719116
6,6,0.16,libsvm_svc,0.6038159371492705,3.0725128650665283
8,1,0.28,gradient_boosting,0.0,9.262049674987793
5,2,0.18,random_forest,0.0033670033670033517,4.703920841217041
10,3,0.26,gradient_boosting,0.0033670033670033517,7.978416919708252
6,4,0.06,random_forest,0.006734006734006703,5.0825488567352295
12,5,0.08,gradient_boosting,0.09652076318742986,3.358825206756592
7,6,0.14,libsvm_svc,0.7699214365881033,4.106904029846191
11,1,0.3,gradient_boosting,0.021324354657688005,9.153002500534058
9,2,0.2,gradient_boosting,0.026936026936026924,9.355753421783447
6,3,0.22,random_forest,0.030303030303030276,4.496995449066162
7,4,0.1,random_forest,0.03928170594837266,4.467653512954712
8,5,0.18,libsvm_svc,0.6397306397306397,3.497965097427368
10,1,0.24,gradient_boosting,0.021324354657688005,8.35497784614563
12,2,0.02,gradient_boosting,0.02581369248035914,10.298866987228394
7,3,0.12,random_forest,0.02805836139169471,3.991239309310913
8,4,0.14,random_forest,0.03479236812570141,4.166943788528442
14,5,0.38,gradient_boosting,0.19977553310886642,3.0988636016845703
9,6,0.1,libsvm_svc,0.5858585858585859,3.257614850997925
8,1,0.48,random_forest,0.0033670033670033517,4.861149311065674
9,2,0.1,random_forest,0.006734006734006703,6.265520334243774
10,3,0.42,libsvm_svc,0.6823793490460157,4.213519096374512
15,1,0.38,gradient_boosting,0.010101010101010055,8.906516075134277
12,2,0.08,gradient_boosting,0.011223344556677839,9.197137594223022
9,3,0.1,random_forest,0.014590347923681302,4.667073488235474
10,4,0.02,random_forest,0.021324354657688005,5.008015155792236
16,5,0.08,gradient_boosting,0.10998877665544338,2.797196388244629
11,6,0.34,libsvm_svc,0.7542087542087542,4.109884262084961
13,1,0.3,gradient_boosting,0.011223344556677839,8.903096914291382
10,2,0.2,random_forest,0.013468013468013518,4.456999063491821
11,3,0.08,random_forest,0.017957351290684653,4.738997459411621
12,4,0.42,libsvm_svc,0.6083052749719416,3.405050039291382
model_id,rank,ensemble_weight,type,cost,duration
14,1,0.28,gradient_boosting,0.030303030303030276,10.937360048294067
12,2,0.22,random_forest,0.035914702581369196,5.193856477737427
