model_id,rank,ensemble_weight,type,cost,duration
2,1,0.34,random_forest,0.0,5.552845478057861
5,2,0.4,gradient_boosting,0.0,3.7826051712036133
4,3,0.26,random_forest,0.001122334455667784,6.128361940383911
5,1,0.36,random_forest,0.0,5.1022419929504395
3,2,0.38,random_forest,0.001122334455667784,4.4961628913879395
6,3,0.26,gradient_boosting,0.0033670033670033517,2.3720591068267822
4,1,0.48000000000000004,random_forest,0.002244668911335568,4.613160848617554
6,2,0.44000000000000006,random_forest,0.0056116722783389195,5.381106615066528
7,3,0.08000000000000002,gradient_boosting,0.12457912457912457,2.499533176422119
8,1,0.36,gradient_boosting,0.0,3.1985833644866943
5,2,0.38,random_forest,0.001122334455667784,4.410140037536621
7,3,0.26,random_forest,0.001122334455667784,5.145302772521973
6,1,0.3,random_forest,0.002244668911335568,4.3305439949035645
8,2,0.4,random_forest,0.002244668911335568,4.841303586959839
9,3,0.3,gradient_boosting,0.002244668911335568,2.405019521713257
7,1,0.34,random_forest,0.0,4.150591611862183
9,2,0.4,random_forest,0.0,5.107895612716675
10,3,0.26,gradient_boosting,0.0,2.9348998069763184
8,1,0.26,random_forest,0.0,5.63204026222229
11,2,0.32,random_forest,0.0,5.997446060180664
13,3,0.2,gradient_boosting,0.0,3.873106002807617
10,4,0.22,libsvm_svc,0.3815937149270483,2.647796869277954
9,1,0.34,random_forest,0.0,4.218353271484375
12,2,0.4,gradient_boosting,0.0,3.74641489982605
11,3,0.26,random_forest,0.001122334455667784,4.9888951778411865
13,1,0.36,gradient_boosting,0.0,5.537559270858765
10,2,0.38,random_forest,0.001122334455667784,5.8232574462890625
12,3,0.26,random_forest,0.0033670033670033517,6.008607387542725
model_id,rank,ensemble_weight,type,cost,duration
11,1,0.34,random_forest,0.0,4.273531436920166
14,2,0.4,gradient_boosting,0.0,2.8843321800231934
13,3,0.26,random_forest,0.001122334455667784,4.634145736694336
14,1,0.36,random_forest,0.0,5.39622163772583
12,2,0.38,random_forest,0.001122334455667784,4.923779487609863
15,3,0.26,gradient_boosting,0.0033670033670033517,2.6254942417144775
13,1,0.48000000000000004,random_forest,0.002244668911335568,4.719428777694702
15,2,0.44000000000000006,random_forest,0.0056116722783389195,5.124579429626465
16,3,0.08000000000000002,gradient_boosting,0.12457912457912457,3.520735740661621
17,1,0.36,gradient_boosting,0.0,2.9383440017700195
14,2,0.38,random_forest,0.001122334455667784,5.167558908462524
16,3,0.26,random_forest,0.001122334455667784,4.5874786376953125
15,1,0.3,random_forest,0.002244668911335568,4.390108108520508
17,2,0.4,random_forest,0.002244668911335568,5.054082155227661
18,3,0.3,gradient_boosting,0.002244668911335568,2.631507635116577
16,1,0.34,random_forest,0.0,4.5433642864227295
18,2,0.4,random_forest,0.0,4.7875142097473145
19,3,0.26,gradient_boosting,0.0,2.7409040927886963
17,1,0.26,random_forest,0.0,4.583256006240845
20,2,0.32,random_forest,0.0,5.128969669342041
22,3,0.2,gradient_boosting,0.0,3.6467697620391846
19,4,0.22,libsvm_svc,0.3815937149270483,2.3032379150390625
18,1,0.34,random_forest,0.0,4.603507995605469
21,2,0.4,gradient_boosting,0.0,3.968479633331299
20,3,0.26,random_forest,0.001122334455667784,5.266387701034546
22,1,0.36,gradient_boosting,0.0,4.64988899230957
19,2,0.38,random_forest,0.001122334455667784,4.3676464557647705
21,3,0.26,random_forest,0.0033670033670033517,6.130916118621826
