model_id,rank,ensemble_weight,type,cost,duration
5,1,0.36,gradient_boosting,0.00037037037037036536,12.456403255462646
3,2,0.4,gradient_boosting,0.0011111111111111072,12.566726922988892
2,3,0.24,extra_trees,0.0029629629629629563,12.652273654937744
3,1,0.38,extra_trees,0.0007407407407407307,12.634921550750732
4,2,0.22,gradient_boosting,0.0018518518518518378,12.587265729904175
6,3,0.4,gradient_boosting,0.00259259259259258,12.395969867706299
4,1,0.58,extra_trees,0.0022222222222222257,12.74329924583435
5,2,0.18,gradient_boosting,0.003703703703703676,12.503819227218628
7,3,0.24,gradient_boosting,0.005555555555555536,12.39170527458191
5,1,0.26,extra_trees,0.00037037037037036536,12.095759153366089
6,2,0.32,gradient_boosting,0.00037037037037036536,12.710835218429565
7,3,0.2,sgd,0.0014814814814814725,12.62189245223999
8,4,0.22,gradient_boosting,0.0022222222222222144,12.55823564529419
6,1,0.36,extra_trees,0.00037037037037036536,12.314135313034058
9,2,0.38,gradient_boosting,0.00037037037037036536,12.135528564453125
7,3,0.26,gradient_boosting,0.0014814814814814725,12.282903909683228
7,1,0.36,extra_trees,0.0,12.5423424243927
8,2,0.38,gradient_boosting,0.0007407407407407307,12.412512302398682
10,3,0.26,gradient_boosting,0.0011111111111110961,12.245423316955566
8,1,0.26,extra_trees,0.00037037037037036536,12.513294696807861
9,2,0.32,gradient_boosting,0.00037037037037036536,12.351303815841675
11,3,0.2,gradient_boosting,0.00037037037037036536,12.212234020233154
10,4,0.22,sgd,0.0014814814814814615,12.279495000839233
12,1,0.36,gradient_boosting,0.00037037037037036536,12.441951751708984
10,2,0.38,gradient_boosting,0.0007407407407407307,12.123031854629517
9,3,0.26,extra_trees,0.0011111111111110961,12.110560417175293
10,1,0.32,extra_trees,0.0007407407407407307,12.265749454498291
11,2,0.38,gradient_boosting,0.0011111111111111072,12.157582998275757
13,3,0.26,gradient_boosting,0.001851851851851849,12.045360326766968
12,4,0.04,sgd,0.007407407407407375,12.049682378768921
model_id,rank,ensemble_weight,type,cost,duration
14,1,0.36,gradient_boosting,0.00037037037037036536,12.252817869186401
12,2,0.38,gradient_boosting,0.0011111111111111072,12.394251823425293
11,3,0.26,extra_trees,0.0022222222222222144,12.544121980667114
12,1,0.34,extra_trees,0.0,12.865544080734253
13,2,0.26,gradient_boosting,0.0011111111111111072,12.718875169754028
15,3,0.28,gradient_boosting,0.0014814814814814725,12.541362524032593
14,4,0.12,sgd,0.006666666666666666,12.655489444732666
13,1,0.34,extra_trees,0.0029629629629629563,12.156207799911499
14,2,0.26,gradient_boosting,0.0033333333333332993,12.078079223632812
16,3,0.3,gradient_boosting,0.004444444444444429,12.802091836929321
15,4,0.1,sgd,0.03407407407407406,12.88840389251709
14,1,0.26,extra_trees,0.0,12.13221788406372
15,2,0.32,gradient_boosting,0.00037037037037036536,12.211617946624756
16,3,0.2,sgd,0.0014814814814814725,12.117196559906006
17,4,0.22,gradient_boosting,0.0022222222222222144,12.042264699935913
15,1,0.3,extra_trees,0.00037037037037036536,12.612974405288696
18,2,0.34,gradient_boosting,0.00037037037037036536,12.316742420196533
16,3,0.2,gradient_boosting,0.0014814814814814725,12.490911483764648
17,4,0.16,sgd,0.013703703703703699,12.392500638961792
16,1,0.36,extra_trees,0.0,12.411346673965454
17,2,0.38,gradient_boosting,0.0007407407407407307,12.265856266021729
19,3,0.26,gradient_boosting,0.0011111111111110961,12.097294092178345
17,1,0.26,extra_trees,0.00037037037037036536,12.254039525985718
18,2,0.32,gradient_boosting,0.00037037037037036536,12.909066200256348
20,3,0.2,gradient_boosting,0.00037037037037036536,12.601916790008545
19,4,0.22,sgd,0.0014814814814814615,12.800388813018799
21,1,0.38,gradient_boosting,0.00037037037037036536,12.074613571166992
18,2,0.26,extra_trees,0.0007407407407407307,12.352088451385498
19,3,0.36,gradient_boosting,0.0007407407407407307,12.165190935134888
19,1,0.32,extra_trees,0.0007407407407407307,12.15450668334961
20,2,0.4,gradient_boosting,0.0011111111111111072,12.072250604629517
22,3,0.28,gradient_boosting,0.001851851851851849,12.03294849395752
