model_id,rank,ensemble_weight,type,cost,duration
3,1,0.06,gradient_boosting,0.0,21.170668601989746
10,2,0.04,gradient_boosting,0.0,14.93616247177124
5,3,0.06,gradient_boosting,0.00037037037037036536,24.143263578414917
8,4,0.04,gradient_boosting,0.00037037037037036536,72.24757099151611
21,5,0.06,gradient_boosting,0.00037037037037036536,34.04765319824219
12,6,0.04,gradient_boosting,0.00037037037037036536,15.515680074691772
19,7,0.02,gradient_boosting,0.00037037037037036536,30.939623832702637
14,8,0.04,extra_trees,0.0007407407407407307,42.89394497871399
18,9,0.1,random_forest,0.0011111111111111072,51.07996487617493
2,10,0.04,extra_trees,0.0014814814814814725,43.457789182662964
20,11,0.06,passive_aggressive,0.003333333333333322,11.972234725952148
15,12,0.02,extra_trees,0.003703703703703676,38.9078209400177
6,13,0.06,gradient_boosting,0.004444444444444429,61.124287843704224
9,14,0.02,sgd,0.007037037037037031,10.555310726165771
7,15,0.02,mlp,0.008148148148148139,20.686208248138428
16,16,0.04,sgd,0.010370370370370365,28.060665369033813
22,17,0.12,gradient_boosting,0.011111111111111092,17.33114457130432
4,18,0.06,sgd,0.02851851851851851,15.22887134552002
13,19,0.02,sgd,0.2740740740740741,18.647838830947876
11,20,0.08,sgd,0.31851851851851853,13.3573477268219
9,1,0.06,gradient_boosting,0.0,73.02294397354126
11,2,0.04,gradient_boosting,0.0,13.398856401443481
18,3,0.04,gradient_boosting,0.0,70.52227330207825
22,4,0.08,gradient_boosting,0.0,43.26301026344299
15,5,0.02,extra_trees,0.0,41.57700037956238
3,6,0.04,extra_trees,0.00037037037037036536,41.79490423202515
4,7,0.04,gradient_boosting,0.00037037037037036536,20.206546783447266
20,8,0.06,gradient_boosting,0.00037037037037036536,32.421074628829956
19,9,0.12,random_forest,0.0007407407407407307,59.330217599868774
6,10,0.04,gradient_boosting,0.0007407407407407419,21.829938888549805
21,11,0.02,passive_aggressive,0.0014814814814814615,11.995721101760864
10,12,0.02,sgd,0.0014814814814814615,9.691072702407837
13,13,0.06,gradient_boosting,0.0014814814814814725,14.818089246749878
23,14,0.08,gradient_boosting,0.0025925925925925687,22.663165807724
7,15,0.04,gradient_boosting,0.0037037037037036874,54.83752512931824
17,16,0.04,sgd,0.006296296296296277,24.805493593215942
16,17,0.06,extra_trees,0.012962962962962957,38.35021758079529
5,18,0.06,sgd,0.01333333333333332,14.293428897857666
8,19,0.04,mlp,0.014444444444444426,22.634902954101562
