model_id,rank,ensemble_weight,type,cost,duration
5,1,0.44000000000000006,gradient_boosting,0.00037037037037036536,12.205183744430542
3,2,0.48000000000000004,gradient_boosting,0.0011111111111111072,12.045639514923096
2,3,0.08000000000000002,extra_trees,0.0029629629629629563,12.039050102233887
3,1,0.38,extra_trees,0.0,12.180293798446655
4,2,0.38,gradient_boosting,0.0018518518518518378,12.086921691894531
6,3,0.24,gradient_boosting,0.00259259259259258,12.046947240829468
4,1,0.28,extra_trees,0.0029629629629629563,12.709342241287231
5,2,0.26,gradient_boosting,0.0033333333333332993,12.609886407852173
7,3,0.22,gradient_boosting,0.004444444444444429,12.455868482589722
6,4,0.24,sgd,0.024074074074074074,12.540805578231812
5,1,0.36,extra_trees,0.0,12.144331455230713
6,2,0.38,gradient_boosting,0.00037037037037036536,12.076783180236816
8,3,0.26,gradient_boosting,0.0022222222222222144,12.023327350616455
6,1,0.3,extra_trees,0.0,12.747000455856323
9,2,0.32,gradient_boosting,0.00037037037037036536,12.46293568611145
7,3,0.2,gradient_boosting,0.0014814814814814725,12.620107173919678
8,4,0.18,sgd,0.012222222222222192,12.516180992126465
7,1,0.3,extra_trees,0.0,12.952729225158691
10,2,0.32,gradient_boosting,0.00037037037037036536,12.689610481262207
8,3,0.2,gradient_boosting,0.0007407407407407307,12.787908554077148
9,4,0.18,sgd,0.0007407407407407307,12.76729440689087
8,1,0.36,extra_trees,0.00037037037037036536,12.286316394805908
9,2,0.38,gradient_boosting,0.00037037037037036536,12.225378513336182
11,3,0.26,gradient_boosting,0.00037037037037036536,12.023751974105835
10,1,0.32,extra_trees,0.00037037037037036536,12.743080139160156
13,2,0.34,gradient_boosting,0.0007407407407407419,12.369841575622559
11,3,0.22,gradient_boosting,0.0011111111111111072,12.56871485710144
12,4,0.12,sgd,0.004444444444444406,12.491573095321655
model_id,rank,ensemble_weight,type,cost,duration
14,1,0.3,gradient_boosting,0.00037037037037036536,12.052548170089722
12,2,0.34,gradient_boosting,0.0007407407407407307,12.117257356643677
11,3,0.2,extra_trees,0.0022222222222222144,12.13182258605957
13,4,0.16,sgd,0.008518518518518514,12.119961500167847
12,1,0.34,extra_trees,0.0,12.399755954742432
13,2,0.26,gradient_boosting,0.0011111111111111072,12.312521696090698
15,3,0.28,gradient_boosting,0.0014814814814814725,12.054080247879028
14,4,0.12,sgd,0.006666666666666666,12.11095643043518
13,1,0.58,extra_trees,0.001851851851851838,12.60298752784729
14,2,0.12,gradient_boosting,0.0033333333333332993,12.447689056396484
16,3,0.1,gradient_boosting,0.0033333333333333106,12.278312921524048
15,4,0.2,sgd,0.03407407407407406,12.318487167358398
14,1,0.26,extra_trees,0.00037037037037036536,12.055060386657715
15,2,0.32,gradient_boosting,0.00037037037037036536,12.306021213531494
16,3,0.2,sgd,0.0014814814814814725,12.264944791793823
17,4,0.22,gradient_boosting,0.0022222222222222144,12.072352170944214
15,1,0.28,extra_trees,0.0,12.151280164718628
18,2,0.34,gradient_boosting,0.0,12.046300172805786
16,3,0.2,gradient_boosting,0.0014814814814814725,12.097693681716919
17,4,0.18,sgd,0.012222222222222192,12.08365535736084
16,1,0.3,extra_trees,0.0,12.210540533065796
19,2,0.32,gradient_boosting,0.00037037037037036536,12.745945692062378
17,3,0.2,gradient_boosting,0.0007407407407407307,12.851282835006714
18,4,0.18,sgd,0.0007407407407407307,12.86134147644043
17,1,0.26,extra_trees,0.00037037037037036536,12.150569915771484
18,2,0.32,gradient_boosting,0.00037037037037036536,12.102356672286987
20,3,0.2,gradient_boosting,0.00037037037037036536,12.411586999893188
19,4,0.22,sgd,0.0014814814814814615,12.42561936378479
19,1,0.28,gradient_boosting,0.0,12.177132368087769
21,2,0.34,gradient_boosting,0.0,12.061833381652832
18,3,0.2,extra_trees,0.00037037037037036536,12.129956483840942
20,4,0.18,sgd,0.007407407407407396,12.116562366485596
19,1,0.26,extra_trees,0.0007407407407407307,12.164385795593262
22,2,0.36,gradient_boosting,0.0007407407407407419,12.067746639251709
20,3,0.24,gradient_boosting,0.0011111111111111072,12.060514211654663
21,4,0.14,sgd,0.007407407407407375,12.04205846786499
