Trained On,Tested On,Model,Accuracy,,,
b5000d100.csv,b5000d30.csv,ASKL,0.593703704,,0.643744856,0.189078775
b5000d100.csv,b100d10.csv,ASKL,0.414814815,,,
b5000d100.csv,b1000d10.csv,ASKL,0.472222222,,,
b5000d100.csv,b1000d100.csv,ASKL,0.977037037,,,
b5000d100.csv,b100d100.csv,ASKL,0.969259259,,,
b5000d100.csv,b5000d10.csv,ASKL,0.488888889,,,
b5000d100.csv,b1000d30.csv,ASKL,0.560740741,,,
b5000d100.csv,b100d30.csv,ASKL,0.452962963,,,
b5000d30.csv,b5000d100.csv,ASKL,0.66,,,
b5000d30.csv,b100d10.csv,ASKL,0.481851852,,,
b5000d30.csv,b1000d10.csv,ASKL,0.587407407,,,
b5000d30.csv,b1000d100.csv,ASKL,0.659259259,,,
b5000d30.csv,b100d100.csv,ASKL,0.591481481,,,
b5000d30.csv,b5000d10.csv,ASKL,0.607407407,,,
b5000d30.csv,b1000d30.csv,ASKL,0.990740741,,,
b5000d30.csv,b100d30.csv,ASKL,0.977037037,,,
b100d10.csv,b5000d100.csv,ASKL,0.63,,,
b100d10.csv,b5000d30.csv,ASKL,0.646666667,,,
b100d10.csv,b1000d10.csv,ASKL,0.917407407,,,
b100d10.csv,b1000d100.csv,ASKL,0.629259259,,,
b100d10.csv,b100d100.csv,ASKL,0.617037037,,,
b100d10.csv,b5000d10.csv,ASKL,0.707777778,,,
b100d10.csv,b1000d30.csv,ASKL,0.617407407,,,
b100d10.csv,b100d30.csv,ASKL,0.647407407,,,
b1000d10.csv,b5000d100.csv,ASKL,0.642222222,,,
b1000d10.csv,b5000d30.csv,ASKL,0.645555556,,,
b1000d10.csv,b100d10.csv,ASKL,0.985185185,,,
b1000d10.csv,b1000d100.csv,ASKL,0.655555556,,,
b1000d10.csv,b100d100.csv,ASKL,0.577407407,,,
b1000d10.csv,b5000d10.csv,ASKL,0.996296296,,,
b1000d10.csv,b1000d30.csv,ASKL,0.647407407,,,
b1000d10.csv,b100d30.csv,ASKL,0.614814815,,,
b1000d100.csv,b5000d100.csv,ASKL,0.968888889,,,
b1000d100.csv,b5000d30.csv,ASKL,0.600740741,,,
b1000d100.csv,b100d10.csv,ASKL,0.605925926,,,
b1000d100.csv,b1000d10.csv,ASKL,0.568518519,,,
b1000d100.csv,b100d100.csv,ASKL,0.98,,,
b1000d100.csv,b5000d10.csv,ASKL,0.53962963,,,
b1000d100.csv,b1000d30.csv,ASKL,0.638888889,,,
b1000d100.csv,b100d30.csv,ASKL,0.625925926,,,
b100d100.csv,b5000d100.csv,ASKL,0.781111111,,,
b100d100.csv,b5000d30.csv,ASKL,0.261851852,,,
b100d100.csv,b100d10.csv,ASKL,0.347037037,,,
b100d100.csv,b1000d10.csv,ASKL,0.333703704,,,
b100d100.csv,b1000d100.csv,ASKL,0.805555556,,,
b100d100.csv,b5000d10.csv,ASKL,0.275185185,,,
b100d100.csv,b1000d30.csv,ASKL,0.333333333,,,
b100d100.csv,b100d30.csv,ASKL,0.333333333,,,
b5000d10.csv,b5000d100.csv,ASKL,0.592222222,,,
b5000d10.csv,b5000d30.csv,ASKL,0.668518519,,,
b5000d10.csv,b100d10.csv,ASKL,0.962592593,,,
b5000d10.csv,b1000d10.csv,ASKL,0.994074074,,,
b5000d10.csv,b1000d100.csv,ASKL,0.64037037,,,
b5000d10.csv,b100d100.csv,ASKL,0.61,,,
b5000d10.csv,b1000d30.csv,ASKL,0.668518519,,,
b5000d10.csv,b100d30.csv,ASKL,0.664444444,,,
b1000d30.csv,b5000d100.csv,ASKL,0.595555556,,,
b1000d30.csv,b5000d30.csv,ASKL,0.930740741,,,
b1000d30.csv,b100d10.csv,ASKL,0.62,,,
b1000d30.csv,b1000d10.csv,ASKL,0.655555556,,,
b1000d30.csv,b1000d100.csv,ASKL,0.59962963,,,
b1000d30.csv,b100d100.csv,ASKL,0.504814815,,,
b1000d30.csv,b5000d10.csv,ASKL,0.518518519,,,
b1000d30.csv,b100d30.csv,ASKL,0.882592593,,,
b100d30.csv,b5000d100.csv,ASKL,0.530740741,,,
b100d30.csv,b5000d30.csv,ASKL,0.681851852,,,
b100d30.csv,b100d10.csv,ASKL,0.534444444,,,
b100d30.csv,b1000d10.csv,ASKL,0.46037037,,,
b100d30.csv,b1000d100.csv,ASKL,0.525555556,,,
b100d30.csv,b100d100.csv,ASKL,0.638148148,,,
b100d30.csv,b5000d10.csv,ASKL,0.300740741,,,
b100d30.csv,b1000d30.csv,ASKL,0.907777778,,,
