Trained On,Tested On,Model,Accuracy,,,
b5000d100.csv,b5000d30.csv,ASKL2,0.545925926,,0.667237654,0.187389839
b5000d100.csv,b100d10.csv,ASKL2,0.444444444,,,
b5000d100.csv,b1000d10.csv,ASKL2,0.488148148,,,
b5000d100.csv,b1000d100.csv,ASKL2,0.974814815,,,
b5000d100.csv,b100d100.csv,ASKL2,0.971111111,,,
b5000d100.csv,b5000d10.csv,ASKL2,0.496666667,,,
b5000d100.csv,b1000d30.csv,ASKL2,0.493703704,,,
b5000d100.csv,b100d30.csv,ASKL2,0.444814815,,,
b5000d30.csv,b5000d100.csv,ASKL2,0.630740741,,,
b5000d30.csv,b100d10.csv,ASKL2,0.35962963,,,
b5000d30.csv,b1000d10.csv,ASKL2,0.383703704,,,
b5000d30.csv,b1000d100.csv,ASKL2,0.636296296,,,
b5000d30.csv,b100d100.csv,ASKL2,0.613703704,,,
b5000d30.csv,b5000d10.csv,ASKL2,0.458888889,,,
b5000d30.csv,b1000d30.csv,ASKL2,0.99037037,,,
b5000d30.csv,b100d30.csv,ASKL2,0.982592593,,,
b100d10.csv,b5000d100.csv,ASKL2,0.644444444,,,
b100d10.csv,b5000d30.csv,ASKL2,0.667407407,,,
b100d10.csv,b1000d10.csv,ASKL2,0.996666667,,,
b100d10.csv,b1000d100.csv,ASKL2,0.651481481,,,
b100d10.csv,b100d100.csv,ASKL2,0.657407407,,,
b100d10.csv,b5000d10.csv,ASKL2,0.995185185,,,
b100d10.csv,b1000d30.csv,ASKL2,0.665555556,,,
b100d10.csv,b100d30.csv,ASKL2,0.674074074,,,
b1000d10.csv,b5000d100.csv,ASKL2,0.472962963,,,
b1000d10.csv,b5000d30.csv,ASKL2,0.58037037,,,
b1000d10.csv,b100d10.csv,ASKL2,0.877777778,,,
b1000d10.csv,b1000d100.csv,ASKL2,0.488518519,,,
b1000d10.csv,b100d100.csv,ASKL2,0.5,,,
b1000d10.csv,b5000d10.csv,ASKL2,0.982962963,,,
b1000d10.csv,b1000d30.csv,ASKL2,0.602592593,,,
b1000d10.csv,b100d30.csv,ASKL2,0.494074074,,,
b1000d100.csv,b5000d100.csv,ASKL2,0.955925926,,,
b1000d100.csv,b5000d30.csv,ASKL2,0.622222222,,,
b1000d100.csv,b100d10.csv,ASKL2,0.628888889,,,
b1000d100.csv,b1000d10.csv,ASKL2,0.574814815,,,
b1000d100.csv,b100d100.csv,ASKL2,0.971111111,,,
b1000d100.csv,b5000d10.csv,ASKL2,0.558888889,,,
b1000d100.csv,b1000d30.csv,ASKL2,0.619259259,,,
b1000d100.csv,b100d30.csv,ASKL2,0.632222222,,,
b100d100.csv,b5000d100.csv,ASKL2,0.921851852,,,
b100d100.csv,b5000d30.csv,ASKL2,0.495555556,,,
b100d100.csv,b100d10.csv,ASKL2,0.641111111,,,
b100d100.csv,b1000d10.csv,ASKL2,0.498518519,,,
b100d100.csv,b1000d100.csv,ASKL2,0.96037037,,,
b100d100.csv,b5000d10.csv,ASKL2,0.482592593,,,
b100d100.csv,b1000d30.csv,ASKL2,0.535925926,,,
b100d100.csv,b100d30.csv,ASKL2,0.644074074,,,
b5000d10.csv,b5000d100.csv,ASKL2,0.634074074,,,
b5000d10.csv,b5000d30.csv,ASKL2,0.634444444,,,
b5000d10.csv,b100d10.csv,ASKL2,0.98037037,,,
b5000d10.csv,b1000d10.csv,ASKL2,0.999259259,,,
b5000d10.csv,b1000d100.csv,ASKL2,0.651851852,,,
b5000d10.csv,b100d100.csv,ASKL2,0.590740741,,,
b5000d10.csv,b1000d30.csv,ASKL2,0.64037037,,,
b5000d10.csv,b100d30.csv,ASKL2,0.663333333,,,
b1000d30.csv,b5000d100.csv,ASKL2,0.621111111,,,
b1000d30.csv,b5000d30.csv,ASKL2,0.988148148,,,
b1000d30.csv,b100d10.csv,ASKL2,0.452222222,,,
b1000d30.csv,b1000d10.csv,ASKL2,0.562962963,,,
b1000d30.csv,b1000d100.csv,ASKL2,0.61962963,,,
b1000d30.csv,b100d100.csv,ASKL2,0.54037037,,,
b1000d30.csv,b5000d10.csv,ASKL2,0.55037037,,,
b1000d30.csv,b100d30.csv,ASKL2,0.989259259,,,
b100d30.csv,b5000d100.csv,ASKL2,0.602222222,,,
b100d30.csv,b5000d30.csv,ASKL2,0.927037037,,,
b100d30.csv,b100d10.csv,ASKL2,0.546666667,,,
b100d30.csv,b1000d10.csv,ASKL2,0.513333333,,,
b100d30.csv,b1000d100.csv,ASKL2,0.632962963,,,
b100d30.csv,b100d100.csv,ASKL2,0.667407407,,,
b100d30.csv,b5000d10.csv,ASKL2,0.472592593,,,
b100d30.csv,b1000d30.csv,ASKL2,0.95,,,
