Trained On,Tested On,Model,Accuracy,,,
b5000d100.csv,b5000d30.csv,ASKL2,0.764814815,,0.707253086,0.133642
b5000d100.csv,b100d10.csv,ASKL2,0.678888889,,,
b5000d100.csv,b1000d10.csv,ASKL2,0.709259259,,,
b5000d100.csv,b1000d100.csv,ASKL2,0.921111111,,,
b5000d100.csv,b100d100.csv,ASKL2,0.534444444,,,
b5000d100.csv,b5000d10.csv,ASKL2,0.755555556,,,
b5000d100.csv,b1000d30.csv,ASKL2,0.818518519,,,
b5000d100.csv,b100d30.csv,ASKL2,0.517777778,,,
b5000d30.csv,b5000d100.csv,ASKL2,0.873703704,,,
b5000d30.csv,b100d10.csv,ASKL2,0.737407407,,,
b5000d30.csv,b1000d10.csv,ASKL2,0.737407407,,,
b5000d30.csv,b1000d100.csv,ASKL2,0.897777778,,,
b5000d30.csv,b100d100.csv,ASKL2,0.528148148,,,
b5000d30.csv,b5000d10.csv,ASKL2,0.923333333,,,
b5000d30.csv,b1000d30.csv,ASKL2,0.955185185,,,
b5000d30.csv,b100d30.csv,ASKL2,0.570740741,,,
b100d10.csv,b5000d100.csv,ASKL2,0.655555556,,,
b100d10.csv,b5000d30.csv,ASKL2,0.467407407,,,
b100d10.csv,b1000d10.csv,ASKL2,0.559259259,,,
b100d10.csv,b1000d100.csv,ASKL2,0.749259259,,,
b100d10.csv,b100d100.csv,ASKL2,0.717407407,,,
b100d10.csv,b5000d10.csv,ASKL2,0.496296296,,,
b100d10.csv,b1000d30.csv,ASKL2,0.548518519,,,
b100d10.csv,b100d30.csv,ASKL2,0.727037037,,,
b1000d10.csv,b5000d100.csv,ASKL2,0.811111111,,,
b1000d10.csv,b5000d30.csv,ASKL2,0.777407407,,,
b1000d10.csv,b100d10.csv,ASKL2,0.628888889,,,
b1000d10.csv,b1000d100.csv,ASKL2,0.834814815,,,
b1000d10.csv,b100d100.csv,ASKL2,0.737037037,,,
b1000d10.csv,b5000d10.csv,ASKL2,0.865185185,,,
b1000d10.csv,b1000d30.csv,ASKL2,0.771111111,,,
b1000d10.csv,b100d30.csv,ASKL2,0.587777778,,,
b1000d100.csv,b5000d100.csv,ASKL2,0.894814815,,,
b1000d100.csv,b5000d30.csv,ASKL2,0.888148148,,,
b1000d100.csv,b100d10.csv,ASKL2,0.725185185,,,
b1000d100.csv,b1000d10.csv,ASKL2,0.712592593,,,
b1000d100.csv,b100d100.csv,ASKL2,0.593703704,,,
b1000d100.csv,b5000d10.csv,ASKL2,0.774814815,,,
b1000d100.csv,b1000d30.csv,ASKL2,0.871111111,,,
b1000d100.csv,b100d30.csv,ASKL2,0.617037037,,,
b100d100.csv,b5000d100.csv,ASKL2,0.722962963,,,
b100d100.csv,b5000d30.csv,ASKL2,0.601481481,,,
b100d100.csv,b100d10.csv,ASKL2,0.562592593,,,
b100d100.csv,b1000d10.csv,ASKL2,0.499259259,,,
b100d100.csv,b1000d100.csv,ASKL2,0.84037037,,,
b100d100.csv,b5000d10.csv,ASKL2,0.481111111,,,
b100d100.csv,b1000d30.csv,ASKL2,0.575925926,,,
b100d100.csv,b100d30.csv,ASKL2,0.689259259,,,
b5000d10.csv,b5000d100.csv,ASKL2,0.81,,,
b5000d10.csv,b5000d30.csv,ASKL2,0.864814815,,,
b5000d10.csv,b100d10.csv,ASKL2,0.682962963,,,
b5000d10.csv,b1000d10.csv,ASKL2,0.77962963,,,
b5000d10.csv,b1000d100.csv,ASKL2,0.855185185,,,
b5000d10.csv,b100d100.csv,ASKL2,0.514444444,,,
b5000d10.csv,b1000d30.csv,ASKL2,0.86,,,
b5000d10.csv,b100d30.csv,ASKL2,0.515555556,,,
b1000d30.csv,b5000d100.csv,ASKL2,0.761481481,,,
b1000d30.csv,b5000d30.csv,ASKL2,0.891111111,,,
b1000d30.csv,b100d10.csv,ASKL2,0.762222222,,,
b1000d30.csv,b1000d10.csv,ASKL2,0.771851852,,,
b1000d30.csv,b1000d100.csv,ASKL2,0.876296296,,,
b1000d30.csv,b100d100.csv,ASKL2,0.536666667,,,
b1000d30.csv,b5000d10.csv,ASKL2,0.94037037,,,
b1000d30.csv,b100d30.csv,ASKL2,0.578888889,,,
b100d30.csv,b5000d100.csv,ASKL2,0.676296296,,,
b100d30.csv,b5000d30.csv,ASKL2,0.578888889,,,
b100d30.csv,b100d10.csv,ASKL2,0.551851852,,,
b100d30.csv,b1000d10.csv,ASKL2,0.594074074,,,
b100d30.csv,b1000d100.csv,ASKL2,0.714444444,,,
b100d30.csv,b100d100.csv,ASKL2,0.703703704,,,
b100d30.csv,b5000d10.csv,ASKL2,0.597037037,,,
b100d30.csv,b1000d30.csv,ASKL2,0.595925926,,,
