model_id,rank,ensemble_weight,type,cost,duration
3,1,0.06,gradient_boosting,0.0,19.440749645233154
23,2,0.04,gradient_boosting,0.0,67.50632214546204
8,3,0.04,gradient_boosting,0.0,79.61546349525452
26,4,0.08,extra_trees,0.00037037037037036536,68.36041212081909
5,5,0.02,gradient_boosting,0.00037037037037036536,21.958940744400024
22,6,0.08,gradient_boosting,0.00037037037037036536,101.16577982902527
21,7,0.04,gradient_boosting,0.00037037037037036536,58.99414920806885
19,8,0.08,gradient_boosting,0.00037037037037036536,33.773653745651245
14,9,0.02,extra_trees,0.0007407407407407307,48.834524393081665
18,10,0.08,random_forest,0.0011111111111111072,80.58394742012024
2,11,0.04,extra_trees,0.0014814814814814725,41.51271677017212
20,12,0.02,passive_aggressive,0.003333333333333322,12.309285879135132
15,13,0.02,extra_trees,0.003703703703703676,45.181822299957275
6,14,0.08,gradient_boosting,0.004444444444444429,56.53729462623596
27,15,0.04,sgd,0.00703703703703702,35.231189250946045
9,16,0.08,sgd,0.007037037037037031,9.845047235488892
7,17,0.04,mlp,0.008148148148148139,20.25555729866028
28,18,0.04,passive_aggressive,0.009259259259259245,10.664161205291748
4,19,0.02,sgd,0.02851851851851851,14.143697738647461
29,20,0.06,mlp,0.033333333333333326,20.418540239334106
13,21,0.02,sgd,0.2740740740740741,18.479472160339355
3,1,0.06,gradient_boosting,0.0,19.440749645233154
23,2,0.04,gradient_boosting,0.0,67.50632214546204
8,3,0.04,gradient_boosting,0.0,79.61546349525452
26,4,0.08,extra_trees,0.00037037037037036536,68.36041212081909
5,5,0.02,gradient_boosting,0.00037037037037036536,21.958940744400024
22,6,0.08,gradient_boosting,0.00037037037037036536,101.16577982902527
21,7,0.04,gradient_boosting,0.00037037037037036536,58.99414920806885
19,8,0.08,gradient_boosting,0.00037037037037036536,33.773653745651245
14,9,0.02,extra_trees,0.0007407407407407307,48.834524393081665
18,10,0.08,random_forest,0.0011111111111111072,80.58394742012024
2,11,0.04,extra_trees,0.0014814814814814725,41.51271677017212
20,12,0.02,passive_aggressive,0.003333333333333322,12.309285879135132
15,13,0.02,extra_trees,0.003703703703703676,45.181822299957275
6,14,0.08,gradient_boosting,0.004444444444444429,56.53729462623596
27,15,0.04,sgd,0.00703703703703702,35.231189250946045
9,16,0.08,sgd,0.007037037037037031,9.845047235488892
7,17,0.04,mlp,0.008148148148148139,20.25555729866028
28,18,0.04,passive_aggressive,0.009259259259259245,10.664161205291748
4,19,0.02,sgd,0.02851851851851851,14.143697738647461
29,20,0.06,mlp,0.033333333333333326,20.418540239334106
13,21,0.02,sgd,0.2740740740740741,18.479472160339355
3,1,0.06,gradient_boosting,0.0,19.440749645233154
23,2,0.04,gradient_boosting,0.0,67.50632214546204
8,3,0.04,gradient_boosting,0.0,79.61546349525452
26,4,0.08,extra_trees,0.00037037037037036536,68.36041212081909
5,5,0.02,gradient_boosting,0.00037037037037036536,21.958940744400024
22,6,0.08,gradient_boosting,0.00037037037037036536,101.16577982902527
21,7,0.04,gradient_boosting,0.00037037037037036536,58.99414920806885
19,8,0.08,gradient_boosting,0.00037037037037036536,33.773653745651245
14,9,0.02,extra_trees,0.0007407407407407307,48.834524393081665
18,10,0.08,random_forest,0.0011111111111111072,80.58394742012024
2,11,0.04,extra_trees,0.0014814814814814725,41.51271677017212
20,12,0.02,passive_aggressive,0.003333333333333322,12.309285879135132
15,13,0.02,extra_trees,0.003703703703703676,45.181822299957275
6,14,0.08,gradient_boosting,0.004444444444444429,56.53729462623596
27,15,0.04,sgd,0.00703703703703702,35.231189250946045
9,16,0.08,sgd,0.007037037037037031,9.845047235488892
7,17,0.04,mlp,0.008148148148148139,20.25555729866028
28,18,0.04,passive_aggressive,0.009259259259259245,10.664161205291748
4,19,0.02,sgd,0.02851851851851851,14.143697738647461
29,20,0.06,mlp,0.033333333333333326,20.418540239334106
13,21,0.02,sgd,0.2740740740740741,18.479472160339355
3,1,0.06,gradient_boosting,0.0,19.440749645233154
