model_id,rank,ensemble_weight,type,cost,duration
3,1,0.16,gradient_boosting,0.0,22.039755821228027
5,2,0.14,gradient_boosting,0.00037037037037036536,24.625726222991943
2,3,0.12,extra_trees,0.0014814814814814838,24.93009638786316
8,4,0.14,gradient_boosting,0.004074074074074063,19.05083656311035
9,5,0.08,sgd,0.007037037037037031,10.575855255126953
7,6,0.04,mlp,0.008148148148148139,23.132803916931152
6,7,0.18,gradient_boosting,0.012592592592592577,24.477449655532837
4,8,0.14,sgd,0.02851851851851851,16.762755870819092
3,1,0.16,gradient_boosting,0.0,22.039755821228027
5,2,0.14,gradient_boosting,0.00037037037037036536,24.625726222991943
2,3,0.12,extra_trees,0.0014814814814814838,24.93009638786316
8,4,0.14,gradient_boosting,0.004074074074074063,19.05083656311035
9,5,0.08,sgd,0.007037037037037031,10.575855255126953
7,6,0.04,mlp,0.008148148148148139,23.132803916931152
6,7,0.18,gradient_boosting,0.012592592592592577,24.477449655532837
4,8,0.14,sgd,0.02851851851851851,16.762755870819092
3,1,0.16,gradient_boosting,0.0,22.039755821228027
5,2,0.14,gradient_boosting,0.00037037037037036536,24.625726222991943
2,3,0.12,extra_trees,0.0014814814814814838,24.93009638786316
8,4,0.14,gradient_boosting,0.004074074074074063,19.05083656311035
9,5,0.08,sgd,0.007037037037037031,10.575855255126953
7,6,0.04,mlp,0.008148148148148139,23.132803916931152
6,7,0.18,gradient_boosting,0.012592592592592577,24.477449655532837
4,8,0.14,sgd,0.02851851851851851,16.762755870819092
3,1,0.16,gradient_boosting,0.0,22.039755821228027
5,2,0.14,gradient_boosting,0.00037037037037036536,24.625726222991943
2,3,0.12,extra_trees,0.0014814814814814838,24.93009638786316
8,4,0.14,gradient_boosting,0.004074074074074063,19.05083656311035
9,5,0.08,sgd,0.007037037037037031,10.575855255126953
7,6,0.04,mlp,0.008148148148148139,23.132803916931152
6,7,0.18,gradient_boosting,0.012592592592592577,24.477449655532837
4,8,0.14,sgd,0.02851851851851851,16.762755870819092
3,1,0.16,gradient_boosting,0.0,22.039755821228027
5,2,0.14,gradient_boosting,0.00037037037037036536,24.625726222991943
2,3,0.12,extra_trees,0.0014814814814814838,24.93009638786316
8,4,0.14,gradient_boosting,0.004074074074074063,19.05083656311035
9,5,0.08,sgd,0.007037037037037031,10.575855255126953
7,6,0.04,mlp,0.008148148148148139,23.132803916931152
6,7,0.18,gradient_boosting,0.012592592592592577,24.477449655532837
4,8,0.14,sgd,0.02851851851851851,16.762755870819092
3,1,0.16,gradient_boosting,0.0,22.039755821228027
5,2,0.14,gradient_boosting,0.00037037037037036536,24.625726222991943
