model_id,rank,ensemble_weight,type,cost,duration
5,1,0.22,gradient_boosting,0.00037037037037036536,12.380827188491821
3,2,0.34,gradient_boosting,0.0007407407407407307,12.54297924041748
2,3,0.26,extra_trees,0.0011111111111111072,12.652071475982666
4,4,0.18,sgd,0.005925925925925913,12.471923828125
5,1,0.22,gradient_boosting,0.00037037037037036536,12.380827188491821
3,2,0.34,gradient_boosting,0.0007407407407407307,12.54297924041748
2,3,0.26,extra_trees,0.0011111111111111072,12.652071475982666
4,4,0.18,sgd,0.005925925925925913,12.471923828125
5,1,0.22,gradient_boosting,0.00037037037037036536,12.380827188491821
3,2,0.34,gradient_boosting,0.0007407407407407307,12.54297924041748
2,3,0.26,extra_trees,0.0011111111111111072,12.652071475982666
4,4,0.18,sgd,0.005925925925925913,12.471923828125
5,1,0.22,gradient_boosting,0.00037037037037036536,12.380827188491821
3,2,0.34,gradient_boosting,0.0007407407407407307,12.54297924041748
2,3,0.26,extra_trees,0.0011111111111111072,12.652071475982666
4,4,0.18,sgd,0.005925925925925913,12.471923828125
5,1,0.22,gradient_boosting,0.00037037037037036536,12.380827188491821
3,2,0.34,gradient_boosting,0.0007407407407407307,12.54297924041748
2,3,0.26,extra_trees,0.0011111111111111072,12.652071475982666
4,4,0.18,sgd,0.005925925925925913,12.471923828125
5,1,0.22,gradient_boosting,0.00037037037037036536,12.380827188491821
3,2,0.34,gradient_boosting,0.0007407407407407307,12.54297924041748
2,3,0.26,extra_trees,0.0011111111111111072,12.652071475982666
4,4,0.18,sgd,0.005925925925925913,12.471923828125
5,1,0.22,gradient_boosting,0.00037037037037036536,12.380827188491821
3,2,0.34,gradient_boosting,0.0007407407407407307,12.54297924041748
2,3,0.26,extra_trees,0.0011111111111111072,12.652071475982666
4,4,0.18,sgd,0.005925925925925913,12.471923828125
5,1,0.22,gradient_boosting,0.00037037037037036536,12.380827188491821
3,2,0.34,gradient_boosting,0.0007407407407407307,12.54297924041748
2,3,0.26,extra_trees,0.0011111111111111072,12.652071475982666
4,4,0.18,sgd,0.005925925925925913,12.471923828125
3,1,0.3,extra_trees,0.0,12.426684141159058
6,2,0.32,gradient_boosting,0.0011111111111111072,12.150223016738892
4,3,0.2,gradient_boosting,0.0018518518518518378,12.299043416976929
5,4,0.18,sgd,0.0037037037037036978,12.279956102371216
3,1,0.3,extra_trees,0.0,12.426684141159058
6,2,0.32,gradient_boosting,0.0011111111111111072,12.150223016738892
4,3,0.2,gradient_boosting,0.0018518518518518378,12.299043416976929
5,4,0.18,sgd,0.0037037037037036978,12.279956102371216
3,1,0.3,extra_trees,0.0,12.426684141159058
6,2,0.32,gradient_boosting,0.0011111111111111072,12.150223016738892
4,3,0.2,gradient_boosting,0.0018518518518518378,12.299043416976929
5,4,0.18,sgd,0.0037037037037036978,12.279956102371216
3,1,0.3,extra_trees,0.0,12.426684141159058
6,2,0.32,gradient_boosting,0.0011111111111111072,12.150223016738892
4,3,0.2,gradient_boosting,0.0018518518518518378,12.299043416976929
5,4,0.18,sgd,0.0037037037037036978,12.279956102371216
3,1,0.3,extra_trees,0.0,12.426684141159058
6,2,0.32,gradient_boosting,0.0011111111111111072,12.150223016738892
4,3,0.2,gradient_boosting,0.0018518518518518378,12.299043416976929
5,4,0.18,sgd,0.0037037037037036978,12.279956102371216
3,1,0.3,extra_trees,0.0,12.426684141159058
6,2,0.32,gradient_boosting,0.0011111111111111072,12.150223016738892
4,3,0.2,gradient_boosting,0.0018518518518518378,12.299043416976929
5,4,0.18,sgd,0.0037037037037036978,12.279956102371216
3,1,0.3,extra_trees,0.0,12.426684141159058
6,2,0.32,gradient_boosting,0.0011111111111111072,12.150223016738892
4,3,0.2,gradient_boosting,0.0018518518518518378,12.299043416976929
5,4,0.18,sgd,0.0037037037037036978,12.279956102371216
3,1,0.3,extra_trees,0.0,12.426684141159058
6,2,0.32,gradient_boosting,0.0011111111111111072,12.150223016738892
4,3,0.2,gradient_boosting,0.0018518518518518378,12.299043416976929
5,4,0.18,sgd,0.0037037037037036978,12.279956102371216
4,1,0.58,extra_trees,0.001851851851851838,12.675546884536743
5,2,0.12,gradient_boosting,0.0033333333333332993,12.570274353027344
7,3,0.1,gradient_boosting,0.0033333333333333106,12.437545776367188
6,4,0.2,sgd,0.03407407407407406,12.484473466873169
4,1,0.58,extra_trees,0.001851851851851838,12.675546884536743
5,2,0.12,gradient_boosting,0.0033333333333332993,12.570274353027344
7,3,0.1,gradient_boosting,0.0033333333333333106,12.437545776367188
6,4,0.2,sgd,0.03407407407407406,12.484473466873169
4,1,0.58,extra_trees,0.001851851851851838,12.675546884536743
5,2,0.12,gradient_boosting,0.0033333333333332993,12.570274353027344
7,3,0.1,gradient_boosting,0.0033333333333333106,12.437545776367188
6,4,0.2,sgd,0.03407407407407406,12.484473466873169
4,1,0.58,extra_trees,0.001851851851851838,12.675546884536743
5,2,0.12,gradient_boosting,0.0033333333333332993,12.570274353027344
7,3,0.1,gradient_boosting,0.0033333333333333106,12.437545776367188
6,4,0.2,sgd,0.03407407407407406,12.484473466873169
4,1,0.58,extra_trees,0.001851851851851838,12.675546884536743
5,2,0.12,gradient_boosting,0.0033333333333332993,12.570274353027344
7,3,0.1,gradient_boosting,0.0033333333333333106,12.437545776367188
6,4,0.2,sgd,0.03407407407407406,12.484473466873169
4,1,0.58,extra_trees,0.001851851851851838,12.675546884536743
5,2,0.12,gradient_boosting,0.0033333333333332993,12.570274353027344
7,3,0.1,gradient_boosting,0.0033333333333333106,12.437545776367188
6,4,0.2,sgd,0.03407407407407406,12.484473466873169
4,1,0.58,extra_trees,0.001851851851851838,12.675546884536743
5,2,0.12,gradient_boosting,0.0033333333333332993,12.570274353027344
7,3,0.1,gradient_boosting,0.0033333333333333106,12.437545776367188
6,4,0.2,sgd,0.03407407407407406,12.484473466873169
4,1,0.58,extra_trees,0.001851851851851838,12.675546884536743
5,2,0.12,gradient_boosting,0.0033333333333332993,12.570274353027344
7,3,0.1,gradient_boosting,0.0033333333333333106,12.437545776367188
6,4,0.2,sgd,0.03407407407407406,12.484473466873169
5,1,0.26,extra_trees,0.00037037037037036536,13.057593822479248
6,2,0.32,gradient_boosting,0.00037037037037036536,12.990657091140747
8,3,0.2,gradient_boosting,0.0022222222222222144,12.81235384941101
7,4,0.22,sgd,0.004444444444444429,12.776375532150269
5,1,0.26,extra_trees,0.00037037037037036536,13.057593822479248
6,2,0.32,gradient_boosting,0.00037037037037036536,12.990657091140747
8,3,0.2,gradient_boosting,0.0022222222222222144,12.81235384941101
7,4,0.22,sgd,0.004444444444444429,12.776375532150269
5,1,0.26,extra_trees,0.00037037037037036536,13.057593822479248
6,2,0.32,gradient_boosting,0.00037037037037036536,12.990657091140747
8,3,0.2,gradient_boosting,0.0022222222222222144,12.81235384941101
7,4,0.22,sgd,0.004444444444444429,12.776375532150269
5,1,0.26,extra_trees,0.00037037037037036536,13.057593822479248
6,2,0.32,gradient_boosting,0.00037037037037036536,12.990657091140747
8,3,0.2,gradient_boosting,0.0022222222222222144,12.81235384941101
7,4,0.22,sgd,0.004444444444444429,12.776375532150269
5,1,0.26,extra_trees,0.00037037037037036536,13.057593822479248
6,2,0.32,gradient_boosting,0.00037037037037036536,12.990657091140747
8,3,0.2,gradient_boosting,0.0022222222222222144,12.81235384941101
7,4,0.22,sgd,0.004444444444444429,12.776375532150269
5,1,0.26,extra_trees,0.00037037037037036536,13.057593822479248
6,2,0.32,gradient_boosting,0.00037037037037036536,12.990657091140747
8,3,0.2,gradient_boosting,0.0022222222222222144,12.81235384941101
7,4,0.22,sgd,0.004444444444444429,12.776375532150269
5,1,0.26,extra_trees,0.00037037037037036536,13.057593822479248
6,2,0.32,gradient_boosting,0.00037037037037036536,12.990657091140747
8,3,0.2,gradient_boosting,0.0022222222222222144,12.81235384941101
7,4,0.22,sgd,0.004444444444444429,12.776375532150269
5,1,0.26,extra_trees,0.00037037037037036536,13.057593822479248
6,2,0.32,gradient_boosting,0.00037037037037036536,12.990657091140747
8,3,0.2,gradient_boosting,0.0022222222222222144,12.81235384941101
7,4,0.22,sgd,0.004444444444444429,12.776375532150269
6,1,0.3,extra_trees,0.0,12.56718111038208
9,2,0.32,gradient_boosting,0.00037037037037036536,12.363977909088135
7,3,0.2,gradient_boosting,0.0014814814814814725,12.415561437606812
8,4,0.18,sgd,0.012222222222222192,12.421836614608765
6,1,0.3,extra_trees,0.0,12.56718111038208
9,2,0.32,gradient_boosting,0.00037037037037036536,12.363977909088135
7,3,0.2,gradient_boosting,0.0014814814814814725,12.415561437606812
8,4,0.18,sgd,0.012222222222222192,12.421836614608765
6,1,0.3,extra_trees,0.0,12.56718111038208
9,2,0.32,gradient_boosting,0.00037037037037036536,12.363977909088135
7,3,0.2,gradient_boosting,0.0014814814814814725,12.415561437606812
8,4,0.18,sgd,0.012222222222222192,12.421836614608765
6,1,0.3,extra_trees,0.0,12.56718111038208
9,2,0.32,gradient_boosting,0.00037037037037036536,12.363977909088135
7,3,0.2,gradient_boosting,0.0014814814814814725,12.415561437606812
8,4,0.18,sgd,0.012222222222222192,12.421836614608765
6,1,0.3,extra_trees,0.0,12.56718111038208
9,2,0.32,gradient_boosting,0.00037037037037036536,12.363977909088135
7,3,0.2,gradient_boosting,0.0014814814814814725,12.415561437606812
8,4,0.18,sgd,0.012222222222222192,12.421836614608765
6,1,0.3,extra_trees,0.0,12.56718111038208
