Trained On,Tested On,Model,Accuracy,,,
b5000d100.csv,b5000d30.csv,ASKL2,0.597037037,,0.648652263,0.186594435
b5000d100.csv,b100d10.csv,ASKL2,0.575925926,,,
b5000d100.csv,b1000d10.csv,ASKL2,0.570740741,,,
b5000d100.csv,b1000d100.csv,ASKL2,0.978888889,,,
b5000d100.csv,b100d100.csv,ASKL2,0.972962963,,,
b5000d100.csv,b5000d10.csv,ASKL2,0.524814815,,,
b5000d100.csv,b1000d30.csv,ASKL2,0.598518519,,,
b5000d100.csv,b100d30.csv,ASKL2,0.594814815,,,
b5000d30.csv,b5000d100.csv,ASKL2,0.588148148,,,
b5000d30.csv,b100d10.csv,ASKL2,0.393703704,,,
b5000d30.csv,b1000d10.csv,ASKL2,0.526296296,,,
b5000d30.csv,b1000d100.csv,ASKL2,0.574814815,,,
b5000d30.csv,b100d100.csv,ASKL2,0.555185185,,,
b5000d30.csv,b5000d10.csv,ASKL2,0.531851852,,,
b5000d30.csv,b1000d30.csv,ASKL2,0.990740741,,,
b5000d30.csv,b100d30.csv,ASKL2,0.981111111,,,
b100d10.csv,b5000d100.csv,ASKL2,0.63962963,,,
b100d10.csv,b5000d30.csv,ASKL2,0.660740741,,,
b100d10.csv,b1000d10.csv,ASKL2,0.996296296,,,
b100d10.csv,b1000d100.csv,ASKL2,0.652592593,,,
b100d10.csv,b100d100.csv,ASKL2,0.666296296,,,
b100d10.csv,b5000d10.csv,ASKL2,0.930740741,,,
b100d10.csv,b1000d30.csv,ASKL2,0.671851852,,,
b100d10.csv,b100d30.csv,ASKL2,0.673333333,,,
b1000d10.csv,b5000d100.csv,ASKL2,0.472962963,,,
b1000d10.csv,b5000d30.csv,ASKL2,0.575555556,,,
b1000d10.csv,b100d10.csv,ASKL2,0.873333333,,,
b1000d10.csv,b1000d100.csv,ASKL2,0.488518519,,,
b1000d10.csv,b100d100.csv,ASKL2,0.5,,,
b1000d10.csv,b5000d10.csv,ASKL2,0.982592593,,,
b1000d10.csv,b1000d30.csv,ASKL2,0.598888889,,,
b1000d10.csv,b100d30.csv,ASKL2,0.493703704,,,
b1000d100.csv,b5000d100.csv,ASKL2,0.969259259,,,
b1000d100.csv,b5000d30.csv,ASKL2,0.627407407,,,
b1000d100.csv,b100d10.csv,ASKL2,0.57962963,,,
b1000d100.csv,b1000d10.csv,ASKL2,0.527037037,,,
b1000d100.csv,b100d100.csv,ASKL2,0.981481481,,,
b1000d100.csv,b5000d10.csv,ASKL2,0.515185185,,,
b1000d100.csv,b1000d30.csv,ASKL2,0.636666667,,,
b1000d100.csv,b100d30.csv,ASKL2,0.623333333,,,
b100d100.csv,b5000d100.csv,ASKL2,0.718148148,,,
b100d100.csv,b5000d30.csv,ASKL2,0.394444444,,,
b100d100.csv,b100d10.csv,ASKL2,0.593333333,,,
b100d100.csv,b1000d10.csv,ASKL2,0.455925926,,,
b100d100.csv,b1000d100.csv,ASKL2,0.782222222,,,
b100d100.csv,b5000d10.csv,ASKL2,0.286296296,,,
b100d100.csv,b1000d30.csv,ASKL2,0.468888889,,,
b100d100.csv,b100d30.csv,ASKL2,0.644444444,,,
b5000d10.csv,b5000d100.csv,ASKL2,0.468518519,,,
b5000d10.csv,b5000d30.csv,ASKL2,0.602962963,,,
b5000d10.csv,b100d10.csv,ASKL2,0.932222222,,,
b5000d10.csv,b1000d10.csv,ASKL2,0.998888889,,,
b5000d10.csv,b1000d100.csv,ASKL2,0.481111111,,,
b5000d10.csv,b100d100.csv,ASKL2,0.391111111,,,
b5000d10.csv,b1000d30.csv,ASKL2,0.608518519,,,
b5000d10.csv,b100d30.csv,ASKL2,0.502592593,,,
b1000d30.csv,b5000d100.csv,ASKL2,0.617777778,,,
b1000d30.csv,b5000d30.csv,ASKL2,0.990740741,,,
b1000d30.csv,b100d10.csv,ASKL2,0.412592593,,,
b1000d30.csv,b1000d10.csv,ASKL2,0.451851852,,,
b1000d30.csv,b1000d100.csv,ASKL2,0.617407407,,,
b1000d30.csv,b100d100.csv,ASKL2,0.547777778,,,
b1000d30.csv,b5000d10.csv,ASKL2,0.41,,,
b1000d30.csv,b100d30.csv,ASKL2,0.915925926,,,
b100d30.csv,b5000d100.csv,ASKL2,0.63,,,
b100d30.csv,b5000d30.csv,ASKL2,0.907037037,,,
b100d30.csv,b100d10.csv,ASKL2,0.493703704,,,
b100d30.csv,b1000d10.csv,ASKL2,0.651481481,,,
b100d30.csv,b1000d100.csv,ASKL2,0.632962963,,,
b100d30.csv,b100d100.csv,ASKL2,0.639259259,,,
b100d30.csv,b5000d10.csv,ASKL2,0.597407407,,,
b100d30.csv,b1000d30.csv,ASKL2,0.964814815,,,
