Trained On,Tested On,Model,Accuracy,,,
b5000d100.csv,b5000d30.csv,ASKL2,0.768888889,,0.720246914,0.126273093
b5000d100.csv,b100d10.csv,ASKL2,0.705555556,,,
b5000d100.csv,b1000d10.csv,ASKL2,0.719259259,,,
b5000d100.csv,b1000d100.csv,ASKL2,0.916296296,,,
b5000d100.csv,b100d100.csv,ASKL2,0.654074074,,,
b5000d100.csv,b5000d10.csv,ASKL2,0.758888889,,,
b5000d100.csv,b1000d30.csv,ASKL2,0.835555556,,,
b5000d100.csv,b100d30.csv,ASKL2,0.520740741,,,
b5000d30.csv,b5000d100.csv,ASKL2,0.875925926,,,
b5000d30.csv,b100d10.csv,ASKL2,0.740740741,,,
b5000d30.csv,b1000d10.csv,ASKL2,0.758888889,,,
b5000d30.csv,b1000d100.csv,ASKL2,0.894814815,,,
b5000d30.csv,b100d100.csv,ASKL2,0.534444444,,,
b5000d30.csv,b5000d10.csv,ASKL2,0.923703704,,,
b5000d30.csv,b1000d30.csv,ASKL2,0.954814815,,,
b5000d30.csv,b100d30.csv,ASKL2,0.572962963,,,
b100d10.csv,b5000d100.csv,ASKL2,0.685555556,,,
b100d10.csv,b5000d30.csv,ASKL2,0.48962963,,,
b100d10.csv,b1000d10.csv,ASKL2,0.565185185,,,
b100d10.csv,b1000d100.csv,ASKL2,0.777407407,,,
b100d10.csv,b100d100.csv,ASKL2,0.718888889,,,
b100d10.csv,b5000d10.csv,ASKL2,0.531111111,,,
b100d10.csv,b1000d30.csv,ASKL2,0.558148148,,,
b100d10.csv,b100d30.csv,ASKL2,0.727777778,,,
b1000d10.csv,b5000d100.csv,ASKL2,0.808888889,,,
b1000d10.csv,b5000d30.csv,ASKL2,0.85,,,
b1000d10.csv,b100d10.csv,ASKL2,0.612592593,,,
b1000d10.csv,b1000d100.csv,ASKL2,0.812222222,,,
b1000d10.csv,b100d100.csv,ASKL2,0.74,,,
b1000d10.csv,b5000d10.csv,ASKL2,0.924074074,,,
b1000d10.csv,b1000d30.csv,ASKL2,0.762962963,,,
b1000d10.csv,b100d30.csv,ASKL2,0.697777778,,,
b1000d100.csv,b5000d100.csv,ASKL2,0.861111111,,,
b1000d100.csv,b5000d30.csv,ASKL2,0.85962963,,,
b1000d100.csv,b100d10.csv,ASKL2,0.776296296,,,
b1000d100.csv,b1000d10.csv,ASKL2,0.678148148,,,
b1000d100.csv,b100d100.csv,ASKL2,0.563333333,,,
b1000d100.csv,b5000d10.csv,ASKL2,0.792592593,,,
b1000d100.csv,b1000d30.csv,ASKL2,0.844814815,,,
b1000d100.csv,b100d30.csv,ASKL2,0.555555556,,,
b100d100.csv,b5000d100.csv,ASKL2,0.71962963,,,
b100d100.csv,b5000d30.csv,ASKL2,0.61037037,,,
b100d100.csv,b100d10.csv,ASKL2,0.633333333,,,
b100d100.csv,b1000d10.csv,ASKL2,0.537407407,,,
b100d100.csv,b1000d100.csv,ASKL2,0.835555556,,,
b100d100.csv,b5000d10.csv,ASKL2,0.511481481,,,
b100d100.csv,b1000d30.csv,ASKL2,0.58962963,,,
b100d100.csv,b100d30.csv,ASKL2,0.707407407,,,
b5000d10.csv,b5000d100.csv,ASKL2,0.715185185,,,
b5000d10.csv,b5000d30.csv,ASKL2,0.808888889,,,
b5000d10.csv,b100d10.csv,ASKL2,0.684074074,,,
b5000d10.csv,b1000d10.csv,ASKL2,0.866296296,,,
b5000d10.csv,b1000d100.csv,ASKL2,0.839259259,,,
b5000d10.csv,b100d100.csv,ASKL2,0.489259259,,,
b5000d10.csv,b1000d30.csv,ASKL2,0.850740741,,,
b5000d10.csv,b100d30.csv,ASKL2,0.507037037,,,
b1000d30.csv,b5000d100.csv,ASKL2,0.76037037,,,
b1000d30.csv,b5000d30.csv,ASKL2,0.888518519,,,
b1000d30.csv,b100d10.csv,ASKL2,0.766296296,,,
b1000d30.csv,b1000d10.csv,ASKL2,0.871111111,,,
b1000d30.csv,b1000d100.csv,ASKL2,0.878518519,,,
b1000d30.csv,b100d100.csv,ASKL2,0.691111111,,,
b1000d30.csv,b5000d10.csv,ASKL2,0.945925926,,,
b1000d30.csv,b100d30.csv,ASKL2,0.59962963,,,
b100d30.csv,b5000d100.csv,ASKL2,0.685555556,,,
b100d30.csv,b5000d30.csv,ASKL2,0.590740741,,,
b100d30.csv,b100d10.csv,ASKL2,0.695185185,,,
b100d30.csv,b1000d10.csv,ASKL2,0.636666667,,,
b100d30.csv,b1000d100.csv,ASKL2,0.713333333,,,
b100d30.csv,b100d100.csv,ASKL2,0.702222222,,,
b100d30.csv,b5000d10.csv,ASKL2,0.597777778,,,
b100d30.csv,b1000d30.csv,ASKL2,0.6,,,
