File,CC,Model,Accuracy,
b1000d60,bbr,AutoSklearn2Classifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.98,0.985
b1000d35,bbr,AutoSklearn2Classifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.99,
b1000d60,cubic,AutoSklearn2Classifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.913333333,0.926666667
b1000d35,cubic,AutoSklearn2Classifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.94,
b1000d60,htcp,AutoSklearn2Classifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.946666667,0.941666667
b1000d35,htcp,AutoSklearn2Classifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.936666667,
b1000d60,bbr,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.973333333,0.978333333
b1000d35,bbr,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.983333333,
b1000d60,cubic,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.903333333,0.918333333
b1000d35,cubic,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.933333333,
b1000d60,htcp,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.936666667,0.928333333
b1000d35,htcp,AutoSklearnClassifier(memory_limit=4096; n_jobs=-1; time_left_for_this_task=30),0.92,
