Transfer,CC,Model,Accuracy
expanse -> chameleon,cubic,RandomForestClassifier(),59.32
expanse -> chameleon,htcp,RandomForestClassifier(),29.0
expanse -> chameleon,bbr,RandomForestClassifier(),48.78
expanse -> chameleon,cubic,GradientBoostingClassifier(),50.02
expanse -> chameleon,htcp,GradientBoostingClassifier(),41.89
expanse -> chameleon,bbr,GradientBoostingClassifier(),50.89
expanse -> chameleon,cubic,DecisionTreeClassifier(),64.25
expanse -> chameleon,htcp,DecisionTreeClassifier(),50.0
expanse -> chameleon,bbr,DecisionTreeClassifier(),49.96
expanse -> chameleon,cubic,LinearSVC(),65.36
expanse -> chameleon,htcp,LinearSVC(),16.67
expanse -> chameleon,bbr,LinearSVC(),16.67
expanse -> chameleon,cubic,MLPClassifier(),64.62
expanse -> chameleon,htcp,MLPClassifier(),16.67
expanse -> chameleon,bbr,MLPClassifier(),16.67
