File,CC,Model,Accuracy,,
b1000d60,cubic,DecisionTreeClassifier(),0.915,,0.941
b1000d60,htcp,DecisionTreeClassifier(),0.941,,0.9575
b1000d60,bbr,DecisionTreeClassifier(),0.949,,0.9725
b1000d35,cubic,DecisionTreeClassifier(),0.967,,
b1000d35,htcp,DecisionTreeClassifier(),0.974,,
b1000d35,bbr,DecisionTreeClassifier(),0.996,,
b1000d60,cubic,GradientBoostingClassifier(),0.937,,0.958
b1000d60,htcp,GradientBoostingClassifier(),0.962,,0.9725
b1000d60,bbr,GradientBoostingClassifier(),0.961,,0.978
b1000d35,cubic,GradientBoostingClassifier(),0.979,,
b1000d35,htcp,GradientBoostingClassifier(),0.983,,
b1000d35,bbr,GradientBoostingClassifier(),0.995,,
b1000d60,cubic,LinearSVC(),0.881,,0.915
b1000d60,htcp,LinearSVC(),0.956,,0.9625
b1000d60,bbr,LinearSVC(),0.94,,0.968
b1000d35,cubic,LinearSVC(),0.949,,
b1000d35,htcp,LinearSVC(),0.969,,
b1000d35,bbr,LinearSVC(),0.996,,
b1000d60,cubic,MLPClassifier(),0.923,,0.9505
b1000d60,htcp,MLPClassifier(),0.961,,0.9735
b1000d60,bbr,MLPClassifier(),0.966,,0.9815
b1000d35,cubic,MLPClassifier(),0.978,,
b1000d35,htcp,MLPClassifier(),0.986,,
b1000d35,bbr,MLPClassifier(),0.997,,
b1000d60,cubic,RandomForestClassifier(),0.933,,0.955
b1000d60,htcp,RandomForestClassifier(),0.961,,0.9715
b1000d60,bbr,RandomForestClassifier(),0.963,,0.9795
b1000d35,cubic,RandomForestClassifier(),0.977,,
b1000d35,htcp,RandomForestClassifier(),0.982,,
b1000d35,bbr,RandomForestClassifier(),0.996,,
