File Trained On,Model,Accuracy,Runtime,,
b5000d100.csv,DecisionTreeClassifier(),0.463055556,0.024589086,,0.456538066
b5000d30.csv,DecisionTreeClassifier(),0.438009259,0.019905941,,
b100d10.csv,DecisionTreeClassifier(),0.692361111,0.025136891,,
b1000d10.csv,DecisionTreeClassifier(),0.567453704,0.019123586,,
b1000d100.csv,DecisionTreeClassifier(),0.167407407,0.019461919,,
b100d100.csv,DecisionTreeClassifier(),0.553425926,0.018163188,,
b5000d10.csv,DecisionTreeClassifier(),0.323425926,0.023116711,,
b1000d30.csv,DecisionTreeClassifier(),0.429768519,0.016149986,,
b100d30.csv,DecisionTreeClassifier(),0.473935185,0.030154854,,
b5000d100.csv,GradientBoostingClassifier(),0.370509259,7.092932783,,0.428677984
b5000d30.csv,GradientBoostingClassifier(),0.488518519,7.144931772,,
b100d10.csv,GradientBoostingClassifier(),0.523101852,5.265185047,,
b1000d10.csv,GradientBoostingClassifier(),0.327916667,6.663266487,,
b1000d100.csv,GradientBoostingClassifier(),0.484027778,6.59482334,,
b100d100.csv,GradientBoostingClassifier(),0.351990741,4.858222137,,
b5000d10.csv,GradientBoostingClassifier(),0.435185185,6.655442153,,
b1000d30.csv,GradientBoostingClassifier(),0.541203704,5.561536485,,
b100d30.csv,GradientBoostingClassifier(),0.335648148,6.325028555,,
b5000d100.csv,LinearSVC(),0.318101852,0.094664201,,0.3543107
b5000d30.csv,LinearSVC(),0.292175926,0.10139445,,
b100d10.csv,LinearSVC(),0.485462963,0.077155028,,
b1000d10.csv,LinearSVC(),0.370601852,0.049704312,,
b1000d100.csv,LinearSVC(),0.325555556,0.096956277,,
b100d100.csv,LinearSVC(),0.414351852,0.165229354,,
b5000d10.csv,LinearSVC(),0.328935185,0.098574721,,
b1000d30.csv,LinearSVC(),0.310185185,0.049342615,,
b100d30.csv,LinearSVC(),0.343425926,0.068177694,,
b5000d100.csv,MLPClassifier(),0.315046296,4.852031238,,0.347443416
b5000d30.csv,MLPClassifier(),0.305925926,4.932522835,,
b100d10.csv,MLPClassifier(),0.431666667,3.469649172,,
b1000d10.csv,MLPClassifier(),0.357962963,4.540731472,,
b1000d100.csv,MLPClassifier(),0.334259259,4.252444729,,
b100d100.csv,MLPClassifier(),0.434722222,3.381535562,,
b5000d10.csv,MLPClassifier(),0.315694444,3.356797933,,
b1000d30.csv,MLPClassifier(),0.281018519,4.310102113,,
b100d30.csv,MLPClassifier(),0.350694444,5.408840313,,
b5000d100.csv,RandomForestClassifier(),0.511064815,0.957624043,,0.484274691
b5000d30.csv,RandomForestClassifier(),0.490462963,0.991829583,,
b100d10.csv,RandomForestClassifier(),0.583888889,0.756973998,,
b1000d10.csv,RandomForestClassifier(),0.520648148,0.790975075,,
b1000d100.csv,RandomForestClassifier(),0.534212963,0.866337789,,
b100d100.csv,RandomForestClassifier(),0.399861111,0.695233381,,
b5000d10.csv,RandomForestClassifier(),0.436111111,0.668051666,,
b1000d30.csv,RandomForestClassifier(),0.479907407,0.799656967,,
b100d30.csv,RandomForestClassifier(),0.402314815,1.067818118,,
