File,CC,Model,Accuracy,,
b1000d60,cubic,DecisionTreeClassifier(),0.896,,0.9115
b1000d60,htcp,DecisionTreeClassifier(),0.942,,0.9315
b1000d60,bbr,DecisionTreeClassifier(),0.969,,0.978
b1000d35,cubic,DecisionTreeClassifier(),0.927,,
b1000d35,htcp,DecisionTreeClassifier(),0.921,,
b1000d35,bbr,DecisionTreeClassifier(),0.987,,
b1000d60,cubic,GradientBoostingClassifier(),0.921,,0.9315
b1000d60,htcp,GradientBoostingClassifier(),0.955,,0.9455
b1000d60,bbr,GradientBoostingClassifier(),0.981,,0.9855
b1000d35,cubic,GradientBoostingClassifier(),0.942,,
b1000d35,htcp,GradientBoostingClassifier(),0.936,,
b1000d35,bbr,GradientBoostingClassifier(),0.99,,
b1000d60,cubic,LinearSVC(),0.891,,0.886
b1000d60,htcp,LinearSVC(),0.902,,0.8935
b1000d60,bbr,LinearSVC(),0.955,,0.969
b1000d35,cubic,LinearSVC(),0.881,,
b1000d35,htcp,LinearSVC(),0.885,,
b1000d35,bbr,LinearSVC(),0.983,,
b1000d60,cubic,MLPClassifier(),0.903,,0.909
b1000d60,htcp,MLPClassifier(),0.913,,0.9145
b1000d60,bbr,MLPClassifier(),0.967,,0.979
b1000d35,cubic,MLPClassifier(),0.915,,
b1000d35,htcp,MLPClassifier(),0.916,,
b1000d35,bbr,MLPClassifier(),0.991,,
b1000d60,cubic,RandomForestClassifier(),0.921,,0.9305
b1000d60,htcp,RandomForestClassifier(),0.945,,0.94
b1000d60,bbr,RandomForestClassifier(),0.978,,0.9845
b1000d35,cubic,RandomForestClassifier(),0.94,,
b1000d35,htcp,RandomForestClassifier(),0.935,,
b1000d35,bbr,RandomForestClassifier(),0.991,,
