Test Size,Model,Accuracy,Runtime
0.2,RandomForestClassifier(),0.9880658436213992,0.5195453011111114
0.2,GradientBoostingClassifier(),0.9907407407407407,7.3877010290000005
0.2,DecisionTreeClassifier(),0.9858024691358026,0.016448846888889552
0.2,MLPClassifier(),0.9761316872427983,13.10969391255555
0.2,LinearSVC(),0.9664609053497942,0.15745789477778083
0.4,RandomForestClassifier(),0.9841563786008228,0.45837238933332475
0.4,GradientBoostingClassifier(),0.9877572016460907,5.7379565265555605
0.4,DecisionTreeClassifier(),0.9794238683127572,0.011096666222234338
0.4,MLPClassifier(),0.969238683127572,11.070605765222227
0.4,LinearSVC(),0.963991769547325,0.11979692900000474
0.6,RandomForestClassifier(),0.978875171467764,0.38210034022221684
0.6,GradientBoostingClassifier(),0.9847050754458162,3.9786298312222166
0.6,DecisionTreeClassifier(),0.9768861454046641,0.00845320622222011
0.6,MLPClassifier(),0.9637860082304527,7.463905148111116
0.6,LinearSVC(),0.9618655692729767,0.0895889834444448
