model_id,rank,ensemble_weight,type,cost,duration
5,1,0.3,gradient_boosting,0.09259259259259257,12.418474674224854
2,2,0.1,gradient_boosting,0.09370370370370369,12.704026460647583
3,3,0.14,extra_trees,0.09592592592592593,8.360901355743408
7,4,0.1,gradient_boosting,0.11814814814814815,7.11008882522583
6,5,0.36,mlp,0.667037037037037,8.035425901412964
4,1,0.24,extra_trees,0.03814814814814815,8.409336805343628
6,2,0.14,gradient_boosting,0.04222222222222223,12.41416072845459
8,3,0.22,gradient_boosting,0.04370370370370371,9.498486042022705
3,4,0.12,gradient_boosting,0.04444444444444447,12.641705513000488
5,5,0.04,sgd,0.12666666666666668,7.532700777053833
7,6,0.24,mlp,0.5944444444444444,10.337156534194946
7,1,0.3,gradient_boosting,0.06407407407407409,12.558370113372803
4,2,0.02,gradient_boosting,0.07222222222222223,12.929765939712524
9,3,0.08,gradient_boosting,0.07296296296296297,8.765762090682983
5,4,0.38,extra_trees,0.10592592592592595,8.33289384841919
6,5,0.04,sgd,0.24703703703703705,7.196208715438843
8,6,0.18,mlp,0.45629629629629637,10.216338634490967
6,1,0.3,extra_trees,0.015555555555555524,8.873360395431519
8,2,0.24,gradient_boosting,0.022222222222222213,12.29051947593689
5,3,0.1,gradient_boosting,0.022592592592592584,12.51982569694519
10,4,0.12,gradient_boosting,0.03740740740740742,8.544028759002686
7,5,0.08,sgd,0.1025925925925926,7.889815807342529
9,6,0.16,mlp,0.41703703703703704,9.338883399963379
7,1,0.48,extra_trees,0.08592592592592592,8.26348352432251
9,2,0.28,gradient_boosting,0.08592592592592593,12.056322813034058
6,3,0.06,gradient_boosting,0.09111111111111109,12.232848882675171
11,4,0.04,gradient_boosting,0.12370370370370373,7.674067735671997
10,5,0.14,mlp,0.5755555555555556,9.589271068572998
7,1,0.3,gradient_boosting,0.08814814814814814,12.495054721832275
10,2,0.02,gradient_boosting,0.09481481481481482,12.144669771194458
8,3,0.08,extra_trees,0.0977777777777778,8.319387674331665
12,4,0.36,gradient_boosting,0.11222222222222225,9.827750205993652
11,5,0.24,mlp,0.5162962962962964,10.821644067764282
11,1,0.22,gradient_boosting,0.03592592592592594,12.89087176322937
8,2,0.04,gradient_boosting,0.039259259259259285,12.161608934402466
9,3,0.2,extra_trees,0.0414814814814815,8.186073780059814
13,4,0.1,gradient_boosting,0.04740740740740741,8.808928966522217
10,5,0.04,sgd,0.10407407407407405,7.310238599777222
12,6,0.4,mlp,0.3892592592592593,9.539140224456787
12,1,0.04,gradient_boosting,0.03814814814814816,12.826953411102295
9,2,0.3,gradient_boosting,0.03851851851851851,13.088773488998413
10,3,0.42,extra_trees,0.03888888888888891,8.034589052200317
14,4,0.08,gradient_boosting,0.06370370370370373,7.288931131362915
11,5,0.02,sgd,0.12185185185185185,6.69450569152832
13,6,0.14,mlp,0.45333333333333337,9.08714747428894
10,1,0.24,gradient_boosting,0.06703703703703703,12.367204904556274
11,2,0.14,extra_trees,0.06777777777777778,9.01744270324707
13,3,0.16,gradient_boosting,0.06962962962962965,12.132245779037476
15,4,0.38,gradient_boosting,0.08074074074074075,7.12862229347229
14,5,0.08,mlp,0.5566666666666666,8.257534503936768
model_id,rank,ensemble_weight,type,cost,duration
14,1,0.46,gradient_boosting,0.09259259259259257,12.050578832626343
11,2,0.12,gradient_boosting,0.09370370370370369,12.336825847625732
12,3,0.1,extra_trees,0.09592592592592593,8.33436894416809
16,4,0.1,gradient_boosting,0.11111111111111109,7.507519721984863
13,5,0.08,sgd,0.13814814814814816,6.907395362854004
15,6,0.14,mlp,0.5437037037037038,9.048553943634033
13,1,0.28,extra_trees,0.03814814814814815,8.55548620223999
15,2,0.14,gradient_boosting,0.04074074074074077,12.324968576431274
12,3,0.02,gradient_boosting,0.04444444444444447,12.73560643196106
17,4,0.36,gradient_boosting,0.06962962962962962,7.866032361984253
14,5,0.02,sgd,0.12666666666666668,7.305694818496704
16,6,0.18,mlp,0.562962962962963,8.118910551071167
16,1,0.16,gradient_boosting,0.07185185185185186,12.255422830581665
13,2,0.06,gradient_boosting,0.07222222222222223,12.620849132537842
14,3,0.2,extra_trees,0.10592592592592595,8.384742736816406
18,4,0.24,gradient_boosting,0.10666666666666667,7.279494524002075
15,5,0.02,sgd,0.24703703703703705,7.403993368148804
17,6,0.32,mlp,0.5085185185185186,8.088561296463013
15,1,0.36,extra_trees,0.015555555555555524,8.355828523635864
17,2,0.08,gradient_boosting,0.020370370370370375,12.873802185058594
14,3,0.16,gradient_boosting,0.022592592592592584,12.329675436019897
19,4,0.16,gradient_boosting,0.03740740740740742,7.65502667427063
16,5,0.08,sgd,0.1025925925925926,7.300395727157593
18,6,0.16,mlp,0.41703703703703704,8.676609754562378
16,1,0.54,extra_trees,0.08592592592592592,8.61522650718689
18,2,0.1,gradient_boosting,0.08592592592592593,12.088199138641357
15,3,0.04,gradient_boosting,0.09111111111111109,12.516937732696533
20,4,0.06,gradient_boosting,0.12592592592592594,6.289745807647705
19,5,0.26,mlp,0.6492592592592593,8.701626062393188
16,1,0.38,gradient_boosting,0.08814814814814814,12.85582947731018
19,2,0.02,gradient_boosting,0.09481481481481482,12.51581621170044
17,3,0.16,extra_trees,0.0977777777777778,8.111629247665405
21,4,0.14,gradient_boosting,0.11777777777777777,6.065335512161255
