ZONEID,TIMESTAMP,VAR78,VAR79,VAR134,VAR157,VAR164,VAR165,VAR166,VAR167,VAR169,VAR175,VAR178,VAR228,POWER
1,20120402 01:00,0.112361908,0,94746.8125,69.93354797,0.830276489,0.342458725,-1.522831917,291.6049805,1717842,1313442,2181074,0.000191458,0.656858974
1,20120402 02:00,0.070106506,0,94678.875,65.64964294,0.685302734,1.115677834,-1.500989914,292.329834,3326070,2660549,4322714,0.000263393,0.771410256
1,20120402 03:00,0.067001343,0,94608.375,60.07411194,0.768798828,1.774486542,-1.611888885,293.2460938,5127796,4041206,6601140,0.000284642,0.613782051
1,20120402 04:00,0.058559418,0,94533.6875,54.51229858,0.538909912,2.232107162,-1.731534004,294.0068359,6934132,5390044,8848819,0.000296831,0.554807692
1,20120402 05:00,0.020584106,0,94505.9375,51.13789368,0.486816406,2.173001289,-1.898820877,294.362793,8433191,6699170,10729834,0.000296831,0.458910256
1,20120402 06:00,0.013029099,0,94503.8125,48.85609436,0.223648071,2.617418289,-1.667720795,294.494873,9867263,7963078,12419882,0.000296831,0.198269231
1,20120402 07:00,0.000997543,0.001720667,94518.3125,54.09742737,0.879394531,1.739650726,-1.394080162,293.2600098,10595086,9135014,13366795,0.000297844,0.085064103
1,20120402 08:00,0,0.002081394,94576.5625,61.20509338,0.548278809,1.671025276,-1.218840599,290.3742676,10750752,10299647,13615586,0.000297844,0.011474359
1,20120402 09:00,0,0.000666142,94605.375,69.00419617,0.241516113,1.926808357,-0.977911949,288.5097656,10750752,11399838,13615586,0.000297844,0.000128205
1,20120402 10:00,0,0,94615.625,75.61672974,0.001678467,1.94196701,-0.88630867,287.026123,10750752,12481922,13615586,0.000297844,0
1,20120402 11:00,0,0.000843048,94632.0625,81.17585754,0.328430176,2.086219788,-1.214301109,285.7568359,10750752,13545462,13615349,0.000297844,0
1,20120402 12:00,0,0.009249687,94596.375,85.85069275,0.998077393,1.509296417,-1.51173687,285.1420898,10750752,14604840,13615349,0.000297844,0
1,20120402 13:00,0,0.007993698,94592.4375,88.47601318,0.956359863,1.73593998,-1.184411049,284.8122559,10750752,15688713,13615349,0.000297844,0
1,20120402 14:00,0,0.000255585,94570.875,89.45291138,0.062988281,1.65512085,-0.839511871,284.7385254,10750752,16774759,13615349,0.000297844,0
1,20120402 15:00,0,0.000246286,94567.5625,89.74783325,0.030761719,1.281323433,-0.429141998,285.0100098,10750752,17825504,13615349,0.000297844,0
1,20120402 16:00,0,0.000763893,94550.3125,91.04507446,0.460205078,0.793845177,-0.549268723,284.3552246,10750752,18874656,13615349,0.000297844,0
1,20120402 17:00,0,0.001029968,94505.25,92.8611145,0.691802979,0.735485077,-0.478562355,283.9189453,10750752,19923360,13615349,0.000297844,0
1,20120402 18:00,0,0.007304192,94501.5,94.40144348,0.998077393,1.08981514,-0.340291977,283.6943359,10750752,20966160,13615349,0.000297844,0
1,20120402 19:00,0,0.010028839,94527.5,94.46244812,0.981964111,1.028477669,-0.348043442,283.6027832,10750752,22032960,13615349,0.000297844,0
1,20120402 20:00,0,0.007680599,94541.9375,93.76893616,0.987760007,0.946923256,-0.506499291,283.3725586,10750752,23103072,13615349,0.000297844,0
1,20120402 21:00,0.000110626,0.0066185,94569.375,91.51298523,0.976409912,0.687250137,-0.374117851,283.8041992,10824472,24203136,13735021,0.000297844,0.015
1,20120402 22:00,0.014778137,0.056270599,94632.75,81.69508362,0.937856078,1.19635582,-0.148161888,287.2216797,11465663,25354416,14551763,0.000399709,0.086282051
1,20120402 23:00,0.088577271,0.069568634,94631.3125,75.52931213,0.815002441,0.578382492,-0.187961578,289.5822754,12522010,26575920,15940854,0.00058198,0.31525641
1,20120403 00:00,0.006484985,0.003723145,94624.625,73.05194092,0.205688477,0.025250435,-0.78290081,290.2851562,13329835,27858400,17214256,0.000917315,0.514551282
1,20120403 01:00,0.090919495,0.004615784,94711.4375,63.74136353,0.410125732,0.304481506,-0.324355125,292.1264648,1118809,1332577,1658497,0,0.734615385
1,20120403 02:00,0.018543243,0.000551224,94638.3125,61.38720703,0.029388428,0.283238411,-0.777376175,293.6296387,3021041,2685035,4038991,0,0.67525641
1,20120403 03:00,0.003379822,1.62E-05,94553,56.48693848,0.020172119,0.474200249,-1.141389847,295.2561035,5588718,3972796,6925150,0,0.618910256
1,20120403 04:00,0.009621274,0.000975609,94501,53.47450256,0.630584717,0.832373619,-1.779151917,296.4643555,8162994,5226301,9815745,0,0.514166667
1,20120403 05:00,0.019654948,0.000321388,94455.25,52.38008118,0.120308459,1.060285568,-2.266139984,296.8830566,10134921,6522121,12109335,0,0.436474359
1,20120403 06:00,0.011550903,0.000240326,94454.5,52.41990662,0.077105761,1.375250816,-2.521197319,296.7573242,11555278,7798890,13835160,0,0.248397436
1,20120403 07:00,0.004472733,0.002069915,94458.5,57.11088562,0.541369915,0.853564262,-1.814124107,295.5336914,12305393,9053460,14810886,0,0.072051282
1,20120403 08:00,0.001289368,0.001699448,94496.8125,64.27653503,0.506476879,1.117510796,-1.871747017,291.8818359,12448384,10252641,15051687,0,0.012628205
1,20120403 09:00,0.000507355,1.62E-05,94558,69.69038391,0.014354542,1.629550934,-1.718268394,290.1945801,12448384,11466046,15051687,0,0.000128205
1,20120403 10:00,0.000286102,0,94601.3125,73.78526306,0,1.946388245,-1.375206947,289.246582,12448384,12649575,15051687,0,0
1,20120403 11:00,8.77E-05,0,94618.625,78.55267334,0.013397217,1.356401443,-0.374372482,290.1608887,12448384,13827909,15051663,0,0
1,20120403 12:00,0.000179291,0.000219345,94629.125,82.16970825,0.261322022,0.164655685,0.213218689,289.3857422,12448384,15003343,15051663,0,0
1,20120403 13:00,0.000391006,0.001095712,94615.8125,84.65371704,0.846954346,-0.370965004,0.652084351,288.1875,12448384,16180510,15051663,0,0
1,20120403 14:00,0.001585007,0.001210243,94596.6875,87.6469574,0.754592896,-0.744955063,0.975700378,286.7709961,12448384,17353504,15051663,0,0
1,20120403 15:00,0.001674652,0.000205994,94572.5625,88.60574341,0.484634399,-0.71096611,1.17579174,286.3623047,12448384,18519456,15051663,0,0
1,20120403 16:00,0.001039505,0.000116184,94561.5,89.32965088,0.240020752,-0.62700367,1.231590271,286.2119141,12448384,19696752,15051663,0,0
1,20120403 17:00,0.00044632,3.88E-05,94540.3125,89.59869385,0.061553955,-0.566163063,1.18297863,285.9753418,12448384,20845440,15051663,0,0
1,20120403 18:00,0.000974655,0,94541.5625,89.66564941,0.019714355,-0.841594696,1.268485069,285.248291,12448384,21990672,15051663,0,0
1,20120403 19:00,0.004112244,0,94596.625,89.57183838,0.068725586,-1.345306396,1.635280609,284.6279297,12448384,23128960,15051663,0,0
1,20120403 20:00,0.010818481,5.87E-06,94638.875,88.2918396,0.225982666,-1.129434586,1.474434853,285.1804199,12448384,24306000,15051663,0,0
1,20120403 21:00,0.014381409,0.000109673,94693.25,86.52755737,0.540039063,-0.956645012,1.390478134,286.3483887,12510148,25466400,15171511,0,0.016730769
1,20120403 22:00,0.015798569,0.000138223,94739.5,79.65402222,0.209838867,-1.25841713,1.512768745,289.4865723,13165760,26712832,16025715,0,0.213653846
1,20120403 23:00,0.017446518,0.000166759,94767.4375,73.37730408,0.310333252,-1.547785759,0.818566322,292.1496582,14499199,28007376,17633008,0,0.565384615
1,20120404 00:00,0.015972137,0.000160664,94768.5625,68.80641174,0.306854248,-1.731227875,-0.165064812,294.003418,16330205,29318912,19807040,0,0.708782051
1,20120404 01:00,0.012851715,6.10E-05,94739.5625,68.20748901,0.505828857,-2.060939789,-0.942290306,294.9448242,2308175,1309768,2664195,0,0.754102564
1,20120404 02:00,0.053970337,7.74E-05,94668.75,63.23384094,0.658721924,-1.492095947,-2.201024055,296.2089844,4946814,2672182,5671125,0,0.745897436
1,20120404 03:00,0.106140137,2.22E-05,94615.5625,59.04519653,0.638214111,-0.417736054,-2.744015694,296.8547363,7433769,3984776,8571479,0.000171244,0.68275641
1,20120404 04:00,0.068321228,0,94575.9375,57.8502655,0.495758057,-0.11923027,-2.499527931,296.7788086,9084950,5369636,10725426,0.000191182,0.521025641
1,20120404 05:00,0.077926636,0,94571.0625,57.43788147,0.50881958,-0.331121445,-2.033520699,296.875,10634623,6759034,12707700,0.000228167,0.338461538
1,20120404 06:00,0.087532043,0,94606.25,60.91053772,0.534576416,-1.089712143,-1.715860367,296.3208008,11646415,8143868,14113037,0.000302613,0.209935897
1,20120404 07:00,0.043708801,0,94649.375,68.15542603,0.343765259,-2.120662689,-1.250066757,295.2612305,12308510,9461472,15020551,0.000314504,0.048589744
1,20120404 08:00,0.019561768,0,94697.9375,74.81019592,0.194549561,-2.506884575,-0.9520998,293.0314941,12400987,10730896,15215387,0.000316918,0.014423077
1,20120404 09:00,0.014076233,0,94759.375,78.23286438,0.118179321,-2.666511536,-0.791671753,291.9020996,12400987,11993236,15215387,0.000317276,6.41E-05
1,20120404 10:00,0.006422043,0,94842.6875,81.70762634,0.182647705,-2.406463623,-0.427889824,290.9040527,12400987,13232084,15215387,0.000318944,0
1,20120404 11:00,0.003377914,0,94878.75,86.10977173,0.057830811,-1.854642868,0.161747932,289.7800293,12400987,14455422,15215323,0.000318944,0
1,20120404 12:00,0.002550125,0,94915.625,89.25956726,0.076721191,-1.694310188,1.046178818,288.4736328,12400987,15657094,15215323,0.000318289,0
1,20120404 13:00,0.002475739,0,94899.3125,92.25909424,0.093658447,-0.997034073,1.563719749,288.0168457,12400987,16876624,15215323,0.000318289,0
1,20120404 14:00,0.00144577,0,94877.0625,94.63748169,0.09828186,-0.880581856,1.740345001,287.2346191,12400987,18052896,15215323,0.000318289,0
1,20120404 15:00,0.001073837,0,94865.875,95.72532654,0.082489014,-1.008526802,1.627788544,286.7802734,12400987,19222512,15215323,0.000318289,0
1,20120404 16:00,0.000911713,0,94844.125,96.95019531,0.052642822,-1.074121475,1.613736153,286.3530273,12400987,20381792,15215323,0.000318289,0
1,20120404 17:00,0.001750946,0,94828.6875,97.82765198,0.103973389,-1.045578957,1.592356682,286.065918,12400987,21538544,15215323,0.000318289,0
1,20120404 18:00,0.006561279,0,94848.375,98.55740356,0.336364746,-0.995844841,1.530291557,285.892334,12400987,22703024,15215323,0.00031957,0
1,20120404 19:00,0.022407532,0,94900.3125,99.41627502,0.982116699,-0.884967804,1.195948601,286.3144531,12400987,23925008,15215323,0.000325203,0
1,20120404 20:00,0.039142609,0,94951.1875,99.61083984,1,-0.823866844,1.079847336,286.5805664,12400987,25186656,15215323,0.000330776,0
1,20120404 21:00,0.048976898,0,94990.375,98.85044861,1,-1.112315178,1.445384979,287.4777832,12448686,26513440,15322925,0.000342518,0.001346154
1,20120404 22:00,0.025643826,0,95050.125,90.84634399,0.940002441,-1.48052597,1.454460144,289.0192871,12860717,27858096,15986475,0.000353485,0.018397436
1,20120404 23:00,0.013049126,0,95084.375,85.20581055,0.813079834,-1.542251587,0.878116608,290.6987305,13796178,29237904,17289008,0.000354201,0.050641026
1,20120405 00:00,0.001777649,0,95082.625,80.23246765,0.426773071,-1.356940269,0.396690369,292.5996094,15503046,30572160,19363968,0.000354201,0.065833333
1,20120405 01:00,0.06086731,0,95052.8125,70.63244629,0.890716553,-1.270461082,-0.842893601,294.7202148,2025142,1372377,2425359,0,0.114807692
1,20120405 02:00,0.169647217,0,94967.5,64.94113159,0.975891113,-0.369400978,-1.674007416,296.1906738,4269565,2764506,5100118,0.000341699,0.143910256
1,20120405 03:00,0.095085144,0,94903.125,63.52468872,0.672851563,-0.486637116,-1.19473362,296.0197754,5485018,4189675,6965334,0.000348255,0.291666667
1,20120405 04:00,0.032864466,0,94851,61.86503601,0.414886475,-0.842734337,-0.715948105,296.4638672,6949583,5658755,8981037,0.000360429,0.530576923
